entity_id,fiscal_year,leg_type,channel,direction,txn_count,value_zar
E01,FY2024,collections,Debit Order,inbound,1566,823246292.2953925
E01,FY2024,collections,EFT,inbound,7348,3861328723.3776317
E01,FY2024,collections,Internal Transfer,inbound,2456,1322358570.4347093
E01,FY2024,collections,RTC,inbound,3227,1607541327.7876258
E01,FY2024,collections,SWIFT,inbound,1622,869619613.077934
E01,FY2024,intercompany_sweeps,Debit Order,inbound,470,199964456.3
E01,FY2024,intercompany_sweeps,Debit Order,outbound,457,208740192.3
E01,FY2024,intercompany_sweeps,EFT,inbound,2059,1025566715.82
E01,FY2024,intercompany_sweeps,EFT,outbound,2079,1105881054.69
E01,FY2024,intercompany_sweeps,Internal Transfer,inbound,716,333857853.14
E01,FY2024,intercompany_sweeps,Internal Transfer,outbound,680,354791795.49
E01,FY2024,intercompany_sweeps,RTC,inbound,922,440464971.69
E01,FY2024,intercompany_sweeps,RTC,outbound,902,496232311.97
E01,FY2024,intercompany_sweeps,SWIFT,inbound,458,214476876.74
E01,FY2024,intercompany_sweeps,SWIFT,outbound,455,204001614.51
E01,FY2024,payroll,Debit Order,outbound,14,253880.56
E01,FY2024,payroll,EFT,outbound,88,1626115.93
E01,FY2024,payroll,Internal Transfer,outbound,28,554944.1
E01,FY2024,payroll,RTC,outbound,28,473249.04
E01,FY2024,payroll,SWIFT,outbound,15,233939.94
E01,FY2024,supplier_payments,Debit Order,outbound,1375,159793087.87
E01,FY2024,supplier_payments,EFT,outbound,6239,677196299.72
E01,FY2024,supplier_payments,Internal Transfer,outbound,1961,215490397.92
E01,FY2024,supplier_payments,RTC,outbound,2808,317414925.62
E01,FY2024,supplier_payments,SWIFT,outbound,1417,150827170.07
E01,FY2024,tax,Debit Order,outbound,5,485716.59
E01,FY2024,tax,EFT,outbound,13,1708091.13
E01,FY2024,tax,Internal Transfer,outbound,11,1461878.4100000001
E01,FY2024,tax,RTC,outbound,8,1401298.67
E01,FY2024,tax,SWIFT,outbound,8,1855324.6400000001
E01,FY2025,collections,Debit Order,inbound,1597,885269266.4429181
E01,FY2025,collections,EFT,inbound,7294,3960356162.525323
E01,FY2025,collections,Internal Transfer,inbound,2520,1391765437.8364525
E01,FY2025,collections,RTC,inbound,3291,1664450478.622115
E01,FY2025,collections,SWIFT,inbound,1639,857667345.4341629
E01,FY2025,intercompany_sweeps,Debit Order,inbound,482,230298035.63
E01,FY2025,intercompany_sweeps,Debit Order,outbound,462,226886707.19
E01,FY2025,intercompany_sweeps,EFT,inbound,2154,1113775345.58
E01,FY2025,intercompany_sweeps,EFT,outbound,2208,1100165530.22
E01,FY2025,intercompany_sweeps,Internal Transfer,inbound,739,355019574.45
E01,FY2025,intercompany_sweeps,Internal Transfer,outbound,713,340577747.84
E01,FY2025,intercompany_sweeps,RTC,inbound,893,456884486.94
E01,FY2025,intercompany_sweeps,RTC,outbound,962,459689379.3
