entity_id,fiscal_year,corridor_type,currency_pair,direction,txn_count,value_zar
E01,FY2024,intercompany,AED/ZAR,inbound,107,96739583.34
E01,FY2024,intercompany,AED/ZAR,outbound,98,94800831.7
E01,FY2024,intercompany,CNY/ZAR,inbound,100,112422750.68
E01,FY2024,intercompany,CNY/ZAR,outbound,114,110250710.19
E01,FY2024,intercompany,EUR/ZAR,inbound,99,91485246.11
E01,FY2024,intercompany,EUR/ZAR,outbound,104,65062664.57
E01,FY2024,intercompany,GBP/ZAR,inbound,91,90072771.88
E01,FY2024,intercompany,GBP/ZAR,outbound,121,105627260.4
E01,FY2024,intercompany,USD/ZAR,inbound,121,110663167.87
E01,FY2024,intercompany,USD/ZAR,outbound,117,89409927.94
E01,FY2024,other,AED/ZAR,inbound,15,8096791.8
E01,FY2024,other,AED/ZAR,outbound,22,35347513.64
E01,FY2024,other,CNY/ZAR,inbound,17,11265384.0
E01,FY2024,other,CNY/ZAR,outbound,23,17794741.62
E01,FY2024,other,EUR/ZAR,inbound,20,21025015.34
E01,FY2024,other,EUR/ZAR,outbound,27,35169997.58
E01,FY2024,other,GBP/ZAR,inbound,12,14463492.030000001
E01,FY2024,other,GBP/ZAR,outbound,26,33487094.200000003
E01,FY2024,other,USD/ZAR,inbound,24,20323551.19
E01,FY2024,other,USD/ZAR,outbound,23,22220984.419999998
E01,FY2024,trade,AED/ZAR,inbound,98,86142943.32
E01,FY2024,trade,AED/ZAR,outbound,103,89940026.45
E01,FY2024,trade,CNY/ZAR,inbound,101,95378417.34
E01,FY2024,trade,CNY/ZAR,outbound,111,117420425.64
E01,FY2024,trade,EUR/ZAR,inbound,114,124907821.45
E01,FY2024,trade,EUR/ZAR,outbound,98,65512510.73
E01,FY2024,trade,GBP/ZAR,inbound,106,89262423.27
E01,FY2024,trade,GBP/ZAR,outbound,103,75726173.53999999
E01,FY2024,trade,USD/ZAR,inbound,102,75305833.02
E01,FY2024,trade,USD/ZAR,outbound,92,77934271.73
E01,FY2025,intercompany,AED/ZAR,inbound,100,80949000.2
E01,FY2025,intercompany,AED/ZAR,outbound,124,85638403.79
E01,FY2025,intercompany,CNY/ZAR,inbound,98,113152873.57000001
E01,FY2025,intercompany,CNY/ZAR,outbound,118,123314693.33
E01,FY2025,intercompany,EUR/ZAR,inbound,97,102055992.81
E01,FY2025,intercompany,EUR/ZAR,outbound,116,102039509.22
E01,FY2025,intercompany,GBP/ZAR,inbound,94,79677202.88
E01,FY2025,intercompany,GBP/ZAR,outbound,110,109999395.16
E01,FY2025,intercompany,USD/ZAR,inbound,101,109175282.25
E01,FY2025,intercompany,USD/ZAR,outbound,128,111722660.81
E01,FY2025,other,AED/ZAR,inbound,19,21271999.9
E01,FY2025,other,AED/ZAR,outbound,27,16024800.15
E01,FY2025,other,CNY/ZAR,inbound,24,17217691.009999998
E01,FY2025,other,CNY/ZAR,outbound,26,17743974.13
E01,FY2025,other,EUR/ZAR,inbound,32,29773820.73
E01,FY2025,other,EUR/ZAR,outbound,24,22335274.5
E01,FY2025,other,GBP/ZAR,inbound,14,7616406.699999999
E01,FY2025,other,GBP/ZAR,outbound,24,40732184.35
E01,FY2025,other,USD/ZAR,inbound,21,21784679.240000002
E01,FY2025,other,USD/ZAR,outbound,20,21195825.25
E01,FY2025,trade,AED/ZAR,inbound,126,87081594.47
E01,FY2025,trade,AED/ZAR,outbound,122,114678536.94
E01,FY2025,trade,CNY/ZAR,inbound,113,87734901.27
E01,FY2025,trade,CNY/ZAR,outbound,116,106485118.93
E01,FY2025,trade,EUR/ZAR,inbound,95,62343282.99
E01,FY2025,trade,EUR/ZAR,outbound,103,116668570.95
E01,FY2025,trade,GBP/ZAR,inbound,103,119676366.6
E01,FY2025,trade,GBP/ZAR,outbound,124,83893046.33
E01,FY2025,trade,USD/ZAR,inbound,93,72839336.36
E01,FY2025,trade,USD/ZAR,outbound,99,89641027.59
E01,FY2026,intercompany,AED/ZAR,inbound,76,75639855.18
E01,FY2026,intercompany,AED/ZAR,outbound,105,94989016.92
E01,FY2026,intercompany,CNY/ZAR,inbound,104,99190155.25
E01,FY2026,intercompany,CNY/ZAR,outbound,104,86391282.96000001
E01,FY2026,intercompany,EUR/ZAR,inbound,74,54529975.09
E01,FY2026,intercompany,EUR/ZAR,outbound,103,108116079.17
E01,FY2026,intercompany,GBP/ZAR,inbound,103,101233155.51
E01,FY2026,intercompany,GBP/ZAR,outbound,100,61459095.04
E01,FY2026,intercompany,USD/ZAR,inbound,91,75681188.08
E01,FY2026,intercompany,USD/ZAR,outbound,112,119919807.74000001
E01,FY2026,other,AED/ZAR,inbound,23,29081765.94
E01,FY2026,other,AED/ZAR,outbound,19,18286485.29
E01,FY2026,other,CNY/ZAR,inbound,16,12743719.98
E01,FY2026,other,CNY/ZAR,outbound,33,29879268.080000002
E01,FY2026,other,EUR/ZAR,inbound,20,34861723.6
E01,FY2026,other,EUR/ZAR,outbound,28,35477247.01
E01,FY2026,other,GBP/ZAR,inbound,18,11688486.66
E01,FY2026,other,GBP/ZAR,outbound,21,16065421.49
E01,FY2026,other,USD/ZAR,inbound,18,9888236.21
E01,FY2026,other,USD/ZAR,outbound,32,29078160.26
E01,FY2026,trade,AED/ZAR,inbound,95,90819941.97
E01,FY2026,trade,AED/ZAR,outbound,97,69866581.09
E01,FY2026,trade,CNY/ZAR,inbound,89,113761120.87
E01,FY2026,trade,CNY/ZAR,outbound,90,76124219.06
E01,FY2026,trade,EUR/ZAR,inbound,101,103852858.02
E01,FY2026,trade,EUR/ZAR,outbound,114,113762295.54
E01,FY2026,trade,GBP/ZAR,inbound,89,105105023.52
E01,FY2026,trade,GBP/ZAR,outbound,111,95674402.5
E01,FY2026,trade,USD/ZAR,inbound,109,103363638.64
E01,FY2026,trade,USD/ZAR,outbound,96,106326056.45
E02,FY2024,intercompany,AED/ZAR,inbound,66,84688180.17
E02,FY2024,intercompany,AED/ZAR,outbound,62,113531588.71
E02,FY2024,intercompany,CNY/ZAR,inbound,61,101828196.73
E02,FY2024,intercompany,CNY/ZAR,outbound,67,95858382.91
E02,FY2024,intercompany,EUR/ZAR,inbound,56,103849934.78
E02,FY2024,intercompany,EUR/ZAR,outbound,59,107093483.11
E02,FY2024,intercompany,GBP/ZAR,inbound,63,87856264.93
E02,FY2024,intercompany,GBP/ZAR,outbound,71,130303092.85
E02,FY2024,intercompany,USD/ZAR,inbound,69,121020057.3
E02,FY2024,intercompany,USD/ZAR,outbound,74,92684165.92999999
E02,FY2024,other,AED/ZAR,inbound,17,38476201.15
E02,FY2024,other,AED/ZAR,outbound,12,18344738.82
E02,FY2024,other,CNY/ZAR,inbound,11,15563618.9
E02,FY2024,other,CNY/ZAR,outbound,13,12584227.94
E02,FY2024,other,EUR/ZAR,inbound,20,35989258.1
E02,FY2024,other,EUR/ZAR,outbound,9,15932305.82
E02,FY2024,other,GBP/ZAR,inbound,21,28337093.67
E02,FY2024,other,GBP/ZAR,outbound,12,19564406.869999997
E02,FY2024,other,USD/ZAR,inbound,20,25692509.55
E02,FY2024,other,USD/ZAR,outbound,16,32444311.43
E02,FY2024,trade,AED/ZAR,inbound,57,143190762.19
E02,FY2024,trade,AED/ZAR,outbound,79,117912191.82
E02,FY2024,trade,CNY/ZAR,inbound,66,102156494.88
E02,FY2024,trade,CNY/ZAR,outbound,72,141792426.56
E02,FY2024,trade,EUR/ZAR,inbound,76,108950279.24
E02,FY2024,trade,EUR/ZAR,outbound,59,92375091.34
E02,FY2024,trade,GBP/ZAR,inbound,63,89239049.17
E02,FY2024,trade,GBP/ZAR,outbound,60,106503975.78
E02,FY2024,trade,USD/ZAR,inbound,60,98757139.08
E02,FY2024,trade,USD/ZAR,outbound,63,94630160.9
E02,FY2025,intercompany,AED/ZAR,inbound,71,107278735.79
E02,FY2025,intercompany,AED/ZAR,outbound,64,80634092.49
E02,FY2025,intercompany,CNY/ZAR,inbound,68,143235328.3
E02,FY2025,intercompany,CNY/ZAR,outbound,68,166815834.86
E02,FY2025,intercompany,EUR/ZAR,inbound,79,104097544.76
E02,FY2025,intercompany,EUR/ZAR,outbound,66,77969331.57000001
E02,FY2025,intercompany,GBP/ZAR,inbound,75,135873515.31
E02,FY2025,intercompany,GBP/ZAR,outbound,77,118062057.48
E02,FY2025,intercompany,USD/ZAR,inbound,73,149935522.61
E02,FY2025,intercompany,USD/ZAR,outbound,78,93885884.78
