entity_id,fiscal_year,counterparty_country,direction,txn_count,value_zar,dataset
E01,FY2024,Brazil,inbound,119,90381619.83,cross_border_payments
E01,FY2024,Brazil,outbound,126,85644982.36,cross_border_payments
E01,FY2024,China,inbound,117,83612310.87,cross_border_payments
E01,FY2024,China,outbound,112,113950565.09,cross_border_payments
E01,FY2024,Germany,inbound,110,99266266.35,cross_border_payments
E01,FY2024,Germany,outbound,106,74352748.31,cross_border_payments
E01,FY2024,India,inbound,109,122859879.76,cross_border_payments
E01,FY2024,India,outbound,127,113948992.06,cross_border_payments
E01,FY2024,Japan,inbound,107,87593735.23,cross_border_payments
E01,FY2024,Japan,outbound,110,107249789.37,cross_border_payments
E01,FY2024,Netherlands,inbound,96,124367761.88,cross_border_payments
E01,FY2024,Netherlands,outbound,121,122474640.98,cross_border_payments
E01,FY2024,Switzerland,inbound,122,97512061.6,cross_border_payments
E01,FY2024,Switzerland,outbound,112,103745567.77,cross_border_payments
E01,FY2024,United Arab Emirates,inbound,103,103395728.31,cross_border_payments
E01,FY2024,United Arab Emirates,outbound,112,96316866.42999999,cross_border_payments
E01,FY2024,United Kingdom,inbound,117,82028136.05,cross_border_payments
E01,FY2024,United Kingdom,outbound,113,95324771.07000001,cross_border_payments
E01,FY2024,United States,inbound,107,149103051.67,cross_border_payments
E01,FY2024,United States,outbound,129,109774816.63,cross_border_payments
E01,FY2024,Unknown,inbound,20,7434641.090000001,cross_border_payments
E01,FY2024,Unknown,outbound,14,12921394.28,cross_border_payments
E01,FY2025,Brazil,inbound,112,143835310.47,cross_border_payments
E01,FY2025,Brazil,outbound,132,120188353.47,cross_border_payments
E01,FY2025,China,inbound,94,106612458.24,cross_border_payments
E01,FY2025,China,outbound,136,134164742.19,cross_border_payments
E01,FY2025,Germany,inbound,103,90231452.92999999,cross_border_payments
E01,FY2025,Germany,outbound,147,127112972.42999999,cross_border_payments
E01,FY2025,India,inbound,116,106291480.96000001,cross_border_payments
E01,FY2025,India,outbound,127,126791410.66,cross_border_payments
E01,FY2025,Japan,inbound,108,90082024.02,cross_border_payments
E01,FY2025,Japan,outbound,125,117692716.52,cross_border_payments
E01,FY2025,Netherlands,inbound,104,65283191.39,cross_border_payments
E01,FY2025,Netherlands,outbound,113,88562737.95,cross_border_payments
E01,FY2025,Switzerland,inbound,118,101628972.67,cross_border_payments
E01,FY2025,Switzerland,outbound,111,109843698.54,cross_border_payments
E01,FY2025,United Arab Emirates,inbound,117,97801166.05,cross_border_payments
E01,FY2025,United Arab Emirates,outbound,122,84735916.61,cross_border_payments
E01,FY2025,United Kingdom,inbound,120,97000473.98,cross_border_payments
E01,FY2025,United Kingdom,outbound,124,123830874.12,cross_border_payments
E01,FY2025,United States,inbound,124,105235115.41,cross_border_payments
E01,FY2025,United States,outbound,124,117824034.2,cross_border_payments
E01,FY2025,Unknown,inbound,14,8348784.86,cross_border_payments
E01,FY2025,Unknown,outbound,20,11365564.74,cross_border_payments
E01,FY2026,Brazil,inbound,108,83391699.58,cross_border_payments
E01,FY2026,Brazil,outbound,104,98391230.03,cross_border_payments
E01,FY2026,China,inbound,98,143260142.73,cross_border_payments
E01,FY2026,China,outbound,124,100212577.48,cross_border_payments
E01,FY2026,Germany,inbound,81,84927156.61,cross_border_payments
E01,FY2026,Germany,outbound,115,74973511.2,cross_border_payments
E01,FY2026,India,inbound,105,97289387.49,cross_border_payments
E01,FY2026,India,outbound,103,92978042.78,cross_border_payments
E01,FY2026,Japan,inbound,97,86207417.22,cross_border_payments
E01,FY2026,Japan,outbound,120,112675448.02,cross_border_payments
E01,FY2026,Netherlands,inbound,92,84066047.72,cross_border_payments
E01,FY2026,Netherlands,outbound,106,121630271.21000001,cross_border_payments
E01,FY2026,Switzerland,inbound,93,98863046.94,cross_border_payments
E01,FY2026,Switzerland,outbound,99,119276580.39,cross_border_payments
E01,FY2026,United Arab Emirates,inbound,112,93136299.63,cross_border_payments
E01,FY2026,United Arab Emirates,outbound,114,113899186.63,cross_border_payments
E01,FY2026,United Kingdom,inbound,106,105650826.91,cross_border_payments
E01,FY2026,United Kingdom,outbound,131,109936495.76,cross_border_payments
E01,FY2026,United States,inbound,117,125499642.91,cross_border_payments
