entity_id,entity_name,sector
E01,BHP Group,mining
E02,Glencore,mining
E03,Anglo American,mining
E04,AngloGold Ashanti,mining
E05,Gold Fields,mining
E06,Valterra Platinum,mining
E07,OUTsurance Group,insurance
E08,Sanlam,insurance
E09,Shoprite Holdings,consumer
E10,Bid Corporation,consumer
E11,Pepkor Holdings,consumer
E12,Clicks Group,consumer
E13,NEPI Rockcastle,real_estate
E14,Prosus,tech
E15,Naspers,tech
E16,MTN Group,telecoms
E17,Vodacom Group,telecoms
E18,The Bidvest Group,industrials_pharma
E19,Aspen Pharmacare,industrials_pharma
E20,Shaftesbury Capital plc,real_estate
