entity_id,calendar_month,fiscal_year,txn_count,value_zar,dataset
E01,2023-07,FY2024,3222,1242488674.1040292,transactional_banking
E01,2023-08,FY2024,3420,1258739522.674301,transactional_banking
E01,2023-09,FY2024,3141,1235293252.0158412,transactional_banking
E01,2023-10,FY2024,3194,1127109470.8426378,transactional_banking
E01,2023-11,FY2024,3326,1242551856.1425793,transactional_banking
E01,2023-12,FY2024,3279,1193192724.7460148,transactional_banking
E01,2024-01,FY2024,3242,1214452773.1905203,transactional_banking
E01,2024-02,FY2024,3023,1130166885.295387,transactional_banking
E01,2024-03,FY2024,3254,1179030974.8824413,transactional_banking
E01,2024-04,FY2024,3375,1199200170.9360893,transactional_banking
E01,2024-05,FY2024,3565,1356579736.2931309,transactional_banking
E01,2024-06,FY2024,3394,1220042648.7103214,transactional_banking
E01,2024-07,FY2025,3447,1406272843.9242737,transactional_banking
E01,2024-08,FY2025,3385,1265187849.589643,transactional_banking
E01,2024-09,FY2025,3312,1151100465.6664686,transactional_banking
E01,2024-10,FY2025,3493,1342458426.9338808,transactional_banking
E01,2024-11,FY2025,3302,1190794585.960321,transactional_banking
E01,2024-12,FY2025,3488,1378464974.0787969,transactional_banking
E01,2025-01,FY2025,3318,1283679125.7419436,transactional_banking
E01,2025-02,FY2025,3167,1158845359.744905,transactional_banking
E01,2025-03,FY2025,3507,1314522654.9867382,transactional_banking
E01,2025-04,FY2025,3264,1185052428.667658,transactional_banking
E01,2025-05,FY2025,3330,1254960243.2035291,transactional_banking
E01,2025-06,FY2025,3279,1205891157.8328133,transactional_banking
E01,2025-07,FY2026,3490,1353620053.9423535,transactional_banking
E01,2025-08,FY2026,3432,1269331277.6685748,transactional_banking
E01,2025-09,FY2026,3427,1261826246.565749,transactional_banking
E01,2025-10,FY2026,3637,1289004510.3228009,transactional_banking
E01,2025-11,FY2026,3524,1281899712.3886557,transactional_banking
E01,2025-12,FY2026,3681,1517306246.9033356,transactional_banking
E01,2026-01,FY2026,3953,1446658794.296032,transactional_banking
E01,2026-02,FY2026,3548,1258307579.9640827,transactional_banking
E01,2026-03,FY2026,4113,1567469552.2848299,transactional_banking
E01,2026-04,FY2026,3990,1448854151.8853695,transactional_banking
E01,2026-05,FY2026,4190,1608435900.0696733,transactional_banking
E01,2026-06,FY2026,4029,1487338611.7513475,transactional_banking
E02,2023-07,FY2024,582,386436761.21006006,transactional_banking
E02,2023-08,FY2024,549,329452141.4685526,transactional_banking
E02,2023-09,FY2024,517,320710001.6988834,transactional_banking
E02,2023-10,FY2024,564,371546698.8457824,transactional_banking
E02,2023-11,FY2024,509,272582216.53193825,transactional_banking
E02,2023-12,FY2024,574,433907773.7807689,transactional_banking
E02,2024-01,FY2024,566,310375761.93055415,transactional_banking
E02,2024-02,FY2024,491,308879272.7666683,transactional_banking
E02,2024-03,FY2024,552,375188350.6119225,transactional_banking
E02,2024-04,FY2024,564,340909557.6034175,transactional_banking
E02,2024-05,FY2024,575,344033884.7379776,transactional_banking
E02,2024-06,FY2024,552,344567625.8931843,transactional_banking
E02,2024-07,FY2025,537,299974594.46898437,transactional_banking
E02,2024-08,FY2025,524,297582504.63482416,transactional_banking
E02,2024-09,FY2025,529,309332270.11380005,transactional_banking
E02,2024-10,FY2025,611,348425638.10302275,transactional_banking
E02,2024-11,FY2025,577,323934433.6160391,transactional_banking
E02,2024-12,FY2025,560,339770226.3521243,transactional_banking
E02,2025-01,FY2025,547,370628948.5135429,transactional_banking
E02,2025-02,FY2025,543,324515572.1219993,transactional_banking
E02,2025-03,FY2025,596,350085707.74641454,transactional_banking
E02,2025-04,FY2025,553,337998937.70768327,transactional_banking
E02,2025-05,FY2025,587,299854274.3975294,transactional_banking
E02,2025-06,FY2025,517,339057282.77316606,transactional_banking
E02,2025-07,FY2026,590,352368484.3325499,transactional_banking
E02,2025-08,FY2026,583,332862290.5352137,transactional_banking
E02,2025-09,FY2026,554,394757265.7306461,transactional_banking
E02,2025-10,FY2026,606,386719824.6459118,transactional_banking
E02,2025-11,FY2026,633,409720326.98941445,transactional_banking
E02,2025-12,FY2026,655,394056127.6182203,transactional_banking
E02,2026-01,FY2026,666,345534016.259298,transactional_banking
E02,2026-02,FY2026,605,329409391.29808164,transactional_banking
E02,2026-03,FY2026,672,348365819.04376274,transactional_banking
E02,2026-04,FY2026,647,379045220.26851344,transactional_banking
E02,2026-05,FY2026,705,380083254.6053461,transactional_banking
E02,2026-06,FY2026,655,387345876.9572393,transactional_banking
E03,2023-07,FY2024,3205,914038978.8873312,transactional_banking
E03,2023-08,FY2024,3274,907354078.5093114,transactional_banking
E03,2023-09,FY2024,3081,881128202.8832873,transactional_banking
