entity_id,entity_name,sector,fiscal_year,line_item,value,low,high,status
E01,BHP Group,mining,FY2024,Gross margin proxy,0.78436346767413,0.1,0.7,above plausible range
E01,BHP Group,mining,FY2025,Gross margin proxy,0.7745501195589651,0.1,0.7,above plausible range
E01,BHP Group,mining,FY2026,Gross margin proxy,0.7747655924787004,0.1,0.7,above plausible range
E01,BHP Group,mining,FY2024,EBITDA margin proxy,0.7680668870667559,0.05,0.45,above plausible range
E01,BHP Group,mining,FY2025,EBITDA margin proxy,0.761532088373959,0.05,0.45,above plausible range
E01,BHP Group,mining,FY2026,EBITDA margin proxy,0.7616934160857382,0.05,0.45,above plausible range
E01,BHP Group,mining,FY2024,Employee cost ratio,0.00034795536482554656,0.03,0.35,below plausible range
E01,BHP Group,mining,FY2025,Employee cost ratio,0.0003084392338995311,0.03,0.35,below plausible range
E01,BHP Group,mining,FY2026,Employee cost ratio,0.0002722204193818894,0.03,0.35,below plausible range
E01,BHP Group,mining,FY2024,Effective cash tax rate,0.0009966061816971672,0.1,0.35,below plausible range
E01,BHP Group,mining,FY2025,Effective cash tax rate,0.0011722323519880481,0.1,0.35,below plausible range
E01,BHP Group,mining,FY2026,Effective cash tax rate,0.0007304442976828742,0.1,0.35,below plausible range
E02,Glencore,mining,FY2024,Gross margin proxy,0.6805256607000476,0.1,0.7,plausible
E02,Glencore,mining,FY2025,Gross margin proxy,0.6812702861298295,0.1,0.7,plausible
E02,Glencore,mining,FY2026,Gross margin proxy,0.6870053542971186,0.1,0.7,plausible
E02,Glencore,mining,FY2024,EBITDA margin proxy,0.6468481415991175,0.05,0.45,above plausible range
E02,Glencore,mining,FY2025,EBITDA margin proxy,0.6328512812033272,0.05,0.45,above plausible range
E02,Glencore,mining,FY2026,EBITDA margin proxy,0.6479633104360369,0.05,0.45,above plausible range
E02,Glencore,mining,FY2024,Employee cost ratio,0.0006711098632573175,0.03,0.35,below plausible range
E02,Glencore,mining,FY2025,Employee cost ratio,0.0006818681641360351,0.03,0.35,below plausible range
