entity_id,fiscal_year,instrument_type,status,direction,tenor_days,commodity_or_contract_type,instrument_count,value_zar
E01,FY2024,export_collections,active,export,30,pharmaceuticals,2,5172337.680000001
E01,FY2024,export_collections,active,export,90,consumer_goods,1,15156635.24
E01,FY2024,export_collections,active,export,90,manufactured_goods,1,1323517.77
E01,FY2024,export_collections,active,export,120,coal,1,2066031.77
E01,FY2024,export_collections,active,export,120,copper,1,603488.74
E01,FY2024,export_collections,active,export,120,platinum_group_metals,1,193262.27
E01,FY2024,export_collections,active,export,180,electronics,1,2214641.4
E01,FY2024,export_collections,active,export,270,telecom_equipment,1,3895330.81
E01,FY2024,export_collections,active,import,30,coal,1,702918.15
E01,FY2024,export_collections,active,import,30,iron_ore,1,1398656.61
E01,FY2024,export_collections,active,import,30,manufactured_goods,1,5226945.26
E01,FY2024,export_collections,active,import,60,consumer_goods,3,13173517.38
E01,FY2024,export_collections,active,import,60,gold,1,1580595.19
E01,FY2024,export_collections,active,import,60,iron_ore,1,251028.95
E01,FY2024,export_collections,active,import,60,manufactured_goods,1,3603894.42
E01,FY2024,export_collections,active,import,60,telecom_equipment,1,1096384.94
E01,FY2024,export_collections,active,import,90,agri_produce,1,2149590.25
E01,FY2024,export_collections,active,import,90,chemicals,2,8206988.28
E01,FY2024,export_collections,active,import,90,iron_ore,1,14587270.46
E01,FY2024,export_collections,active,import,120,chemicals,1,1673052.4
E01,FY2024,export_collections,active,import,180,consumer_goods,1,215413.46
E01,FY2024,export_collections,active,import,180,copper,1,810993.96
E01,FY2024,export_collections,active,import,180,gold,1,4731377.13
E01,FY2024,export_collections,active,import,270,chemicals,1,872791.31
E01,FY2024,export_collections,active,import,365,pharmaceuticals,1,3066866.28
E01,FY2024,export_collections,expired,export,30,gold,1,5970736.78
E01,FY2024,export_collections,expired,export,60,manufactured_goods,1,4098268.65
E01,FY2024,export_collections,expired,export,90,gold,1,237774.39
E01,FY2024,export_collections,expired,export,90,platinum_group_metals,1,399422.16
E01,FY2024,export_collections,expired,import,30,manufactured_goods,1,668146.99
E01,FY2024,export_collections,expired,import,180,telecom_equipment,1,1015003.82
E01,FY2024,export_collections,issued,export,30,chemicals,1,1742071.42
E01,FY2024,export_collections,issued,export,30,manufactured_goods,1,2262762.16
E01,FY2024,export_collections,issued,export,30,platinum_group_metals,1,1664077.09
E01,FY2024,export_collections,issued,export,30,telecom_equipment,2,13756692.61
E01,FY2024,export_collections,issued,export,60,chemicals,1,686610.41
E01,FY2024,export_collections,issued,export,60,platinum_group_metals,1,1815660.19
E01,FY2024,export_collections,issued,export,90,copper,1,1917542.06
E01,FY2024,export_collections,issued,export,120,gold,1,330542.04
E01,FY2024,export_collections,issued,export,180,electronics,1,604573.24
E01,FY2024,export_collections,issued,export,180,gold,1,3101706.91
E01,FY2024,export_collections,issued,export,180,iron_ore,1,4321768.64
E01,FY2024,export_collections,issued,import,60,pharmaceuticals,1,206544.2
E01,FY2024,export_collections,issued,import,90,agri_produce,1,363806.16
E01,FY2024,export_collections,issued,import,90,iron_ore,1,14569063.13
E01,FY2024,export_collections,issued,import,120,consumer_goods,1,1241188.02
E01,FY2024,export_collections,issued,import,120,telecom_equipment,1,2811591.83
E01,FY2024,export_collections,issued,import,180,agri_produce,1,727716.95
E01,FY2024,export_collections,issued,import,180,telecom_equipment,1,2742488.89
E01,FY2024,export_collections,settled,export,30,iron_ore,1,569269.99
E01,FY2024,export_collections,settled,export,30,platinum_group_metals,1,562983.38
E01,FY2024,export_collections,settled,export,60,consumer_goods,1,765874.36
E01,FY2024,export_collections,settled,export,60,electronics,1,3002990.63
E01,FY2024,export_collections,settled,export,60,gold,1,4265036.34
E01,FY2024,export_collections,settled,export,60,manufactured_goods,2,3909111.1399999997
E01,FY2024,export_collections,settled,export,90,electronics,1,1108608.6
