entity_id,fiscal_year,entity_name,sector,tb_txn_count,tb_total_value_zar,tb_avg_txn_zar,tb_median_txn_zar,tb_net_flow_zar,intercompany_transfers,payments_to_employees,payments_to_suppliers,receipts_from_customers,taxes_paid,channel_Debit Order,channel_EFT,channel_Internal Transfer,channel_RTC,channel_SWIFT,net_operating_cash_flow,operating_margin_proxy,tf_instrument_count,tf_total_value_zar,tf_avg_value_zar,tf_net_trade_zar,tf_countries,tf_weighted_avg_tenor_days,tf_open_exposure_zar,tf_export_collections,tf_guarantees,tf_letters_of_credit,tf_export,tf_import,xb_txn_count,xb_total_value_zar,xb_net_fx_zar,xb_countries,xb_inflow_zar,xb_outflow_zar,fx_AED/ZAR,fx_CNY/ZAR,fx_EUR/ZAR,fx_GBP/ZAR,fx_USD/ZAR,xb_corridor_intercompany,xb_corridor_other,xb_corridor_trade,total_flow_zar,fx_dependence,tb_total_value_zar_index,tb_total_value_zar_yoy,tb_total_value_zar_share,tf_total_value_zar_index,tf_total_value_zar_yoy,tf_total_value_zar_share,xb_total_value_zar_index,xb_total_value_zar_yoy,xb_total_value_zar_share,total_flow_zar_index,total_flow_zar_yoy,total_flow_zar_share
E01,FY2024,BHP Group,mining,39435,14598848689.833294,370200.29643294774,152798.98098619204,6798002111.493293,4583977842.65,3142129.57,1520721881.2,8484094526.973293,6912309.44,1392483625.9153926,6673307000.667631,2228515439.4947095,2863528084.7776256,1441014538.9779341,6953318206.763293,0.8195710437521367,418,1204214139.03,2880895.0694497605,-217328416.13,11,103.79429163440189,569585530.48,338990922.46999997,335229400.86,529993815.7,493442861.45,710771277.58,2309,2083260326.99,11850058.290000001,11,1047555192.64,1035705134.35,411067690.25,464532429.47,403163255.78,408639215.32,395857736.17,966534914.68,219194565.82,897530846.49,17886323155.853294,0.11647225138657151,100.0,,0.10562366373794795,100.0,,0.0982718332971655,100.0,,0.04866817855298182,100.0,,0.09254338751731911
E01,FY2025,BHP Group,mining,40292,15137230116.33097,375688.22883775865,154013.34532203453,7206935324.410972,4784214052.07,2864428.52,1582352644.16,8759508690.860971,8290300.72,1501209035.802918,6893626993.765323,2320559830.536453,2896973573.442115,1524860682.784163,7166001317.460972,0.8180825626598729,418,1278706407.09,3059106.2370574162,76276444.25,11,103.44133259534868,569182621.8100001,225814422.78,438984673.49,613907310.82,677491425.67,601214981.42,2411,2174463452.41,-149762590.45000002,11,1012350430.98,1162113021.43,405644335.45,465649252.24,435216451.2,441594602.02,426358811.5,1017725014.02,215696655.96,941041782.43,18590399975.83097,0.11696700744669178,103.68783482818483,0.03687834828184822,0.11366848361921832,106.1859652403686,0.06185965240368607,0.1014235876645673,104.37790343522622,0.043779034352261936,0.04778845906654569,103.93639773721335,0.039363977372133485,0.09718975450209097
E01,FY2026,BHP Group,mining,45014,16790052638.042805,372996.2375714845,154797.11948060914,7718858031.822804,5530956560.79,2738942.03,1804439359.04,9446319820.622805,5597955.5600000005,1657248136.019979,7473034687.942403,2494429941.2483754,3384174537.438062,1781165335.3939855,7633543563.992805,0.8080970906074528,471,1444550118.15,3066985.3888535034,56861390.49000001,11,105.98629498198002,739424251.77,242820429.46,510614473.37,691115215.32,750705754.32,693844363.83,2191,2082856263.1200001,-39974574.08,11,1021440844.52,1061415418.6,378683646.39,418089766.2,450600178.43,391225584.72,444257087.38,877149610.94,227050514.52,978656137.66,20317459019.312805,0.10251558825048628,115.00942981712987,0.1091892313857783,0.12672869482745666,119.9579104189552,0.12969647304529963,0.10744824916621,99.98060425455402,-0.042128640602567824,0.04635949573504474,113.5921499476203,0.09290058555637049,0.1064517800358786
E02,FY2024,Glencore,mining,6595,4138590047.07971,627534.5029688718,255019.03,1804504238.95971,1420214578.72,2010295.2,403764684.21,2309126143.94971,3474345.0,432700092.0241707,1841529703.64326,519989190.2999435,953569549.8852803,390801511.2270556,1899876819.53971,0.8227687450153816,250,1079888855.32,4319555.421279999,-228311607.8,16,94.81201800699216,517260780.5,240110913.29,410835781.12,428942160.91,425788623.76,654100231.5600001,1454,2377149590.63,-5959510.949999996,15,1185595039.84,1191554550.79,516143662.86,469783347.92,464190352.39,461803883.27,465228344.19,1038713347.42,242928672.25,1095507570.96,7595628493.02971,0.3129628565709134,100.0,,0.02994298062602614,100.0,,0.08812606838760106,100.0,,0.055533885623927505,100.0,,0.03929959136615548
E02,FY2025,Glencore,mining,6681,3941160390.5491304,589905.7611957986,249645.49,1800223561.2691302,1331443807.78,1913974.92,403171654.68,2200273074.38913,4357878.78,426057486.9859815,1778186418.945796,597312282.3333223,793993452.3713135,345610749.9127169,1790829566.00913,0.8139124124428622,245,967159880.47,3947591.348857143,-36056836.65,16,112.90819436366938,620955005.77,156137516.18,428598054.43,382424309.86,465551521.91,501608358.56,1581,2409957418.95,84252616.31,15,1247105017.6299999,1162852401.32,430293930.02,518786801.74,449347713.19,508236236.59,503292737.41,1177787847.95,237520679.32,994648891.68,7318277689.9691305,0.3293066375785701,95.2295430500566,-0.04770456949943391,0.029594960362697494,89.56105766860652,-0.10438942331393475,0.07671254666326026,101.38013309929329,0.013801330992933014,0.05296393983534976,96.3485470186556,-0.03651452981344416,0.038259618566083946
E02,FY2026,Glencore,mining,7571,4440267898.284198,586483.6743209877,241683.74919901075,2140477934.9041977,1479601182.1,1889115.34,433240265.8,2520159111.2341976,5378223.81,467015180.33176684,2005768216.6300821,678185296.5678327,811238897.7614754,478060306.9930404,2079651506.2841976,0.825206431218436,242,1085073575.85,4483775.106818181,133639612.47,16,116.21967111484886,655932842.01,307693036.29,364628266.56,412752273.0,609356594.16,475716981.69,1464,2323926326.28,-62284050.04000001,15,1130821138.1200001,1193105188.16,473821412.36,402687412.56,471747469.74,387067145.53000003,588602886.09,1085774762.4,238511132.75,999640431.13,7849267800.414198,0.29606918573441576,107.28938715293532,0.12663973507191506,0.03351444855859635,100.48011612532694,0.12191747999586022,0.08070973410802407,97.7610469042508,-0.03569817955849308,0.05172514998723598,103.33928005585378,0.07255670431485184,0.04112564118072764
E03,FY2024,Anglo American,mining,36263,10179417818.791548,280710.8573143851,116213.12,4585974713.391548,3291589525.16,1687876.82,1081801162.81,5799202803.391548,5136450.61,1050445344.9194856,4502283436.840407,1490996924.1830957,2030089066.3396018,1105603046.5089579,4710577313.151548,0.8122801482984284,424,912985219.1,2153267.026179245,-151002325.34,17,108.50718812973388,425006044.48,241897766.02,266464853.09,404622599.99,380991446.88,531993772.21999997,2358,1738318956.57,-110960391.63000001,16,813679282.47,924639674.1,316429195.63,392719045.99,332990650.42,339951533.3,356228531.23,771293799.82,190326694.9,776698461.85,12830721994.461548,0.135480992988575,100.0,,0.0736487806390431,100.0,,0.07450562848102894,100.0,,0.04060981542456451,100.0,,0.06638583387507838
E03,FY2025,Anglo American,mining,30747,8415981207.768811,273717.14989328425,114315.15011027256,3885125552.648811,2613857060.45,1469075.65,944673571.28,4850805223.628811,5176276.76,829653449.4602754,3771801725.714742,1331545577.2912776,1732125422.7953079,750855032.5072076,3899486299.938811,0.8038843285118892,330,792251664.01,2400762.618212121,-156054417.31,17,98.78028070183036,414406136.65000004,167549925.3,310296498.5,314405240.21,318098623.35,474153040.65999997,2038,1349280627.42,-65084785.64,16,642097920.89,707182706.53,290330573.1,257721218.35,242417964.78,261332318.13,297478553.06,600240999.04,130587064.03,618452564.35,10557513499.19881,0.12780287967639298,82.67644925854823,-0.17323550741451765,0.06319728343317219,86.7759573140717,-0.13224042685928306,0.06283929262541188,77.61985349813828,-0.22380146501861709,0.029653311469217514,82.28308199457537,-0.17716918005424642,0.05519419412565807
E03,FY2026,Anglo American,mining,27159,7557980663.122787,278286.4119858164,114325.24,3674379909.0227876,2365657374.23,1994270.44,794944447.31,4390844452.882788,4540118.26,804308700.344523,3393564796.878803,1106256117.1408587,1491691079.1622388,762159969.5963644,3589365616.8727875,0.8174659010105008,305,632016627.58,2072185.6641967215,-141423682.79999998,17,97.64583131080413,322430455.45,125467264.97,238941628.38,267607734.23,245296472.39000002,386720155.19,1467,996378910.4,-159807573.48,16,418285668.46,578093241.94,201033788.38,205047682.85999998,198409195.34,195360107.1,196528136.72,440604655.98,83081540.38,472692714.04,9186376201.102787,0.10846267217756538,74.247671111117,-0.1019489615606558,0.05704645754346827,69.2252858379271,-0.20225269785987776,0.04701053928428118,57.318532173521575,-0.2615480500115043,0.022177057853231263,71.59672078522266,-0.12987312762612868,0.04813131886999616
E04,FY2024,AngloGold Ashanti,mining,7596,1760392128.7700655,231752.51826883433,93284.94,734527867.7900656,607832575.86,838213.15,181350662.01,967216736.1600657,3153941.59,173982739.73830184,792119084.4122825,255025535.27683237,375399696.70422184,163865072.63842705,781873919.4100657,0.808375093377905,283,433102771.17,1530398.4846996467,-39525142.19,19,108.89355115136885,242818581.03,79003635.71,130030236.95,224068898.51,196788814.49,236313956.68,1515,854656775.37,43193677.37,18,448925226.37,405731549.0,190057616.96,172116006.27,156907039.22,171081051.43,164495061.49,372710388.68,77612568.54,404333818.15,3048151675.3100653,0.28038525191928393,100.0,,0.012736556848186843,100.0,,0.0353440488277628,100.0,,0.01996610217471995,100.0,,0.015771060337097405
