row_label,column_header,value_raw,value,entity_id,entity_name,source_file,page,table_index,table_title,currency,unit_scale
"Profit/(loss) from equity accounted investments, related impairments and expenses",,29,29.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Net finance costs,,23,23.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Revenue,nan.1,"51,262",51262.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Other income,nan.1,368,368.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Expenses excluding net finance costs,nan.1,"(32,319)",-32319.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
"Profit/(loss) from equity accounted investments, related impairments and expenses",nan.1,153,153.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Profit from operations,nan.1,"19,464",19464.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Financial expenses,nan.1,"(1,771)",-1771.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Financial income,nan.1,660,660.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Net finance costs,nan.1,"(4,111)",-4111.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Profit before taxation,nan.1,"18,353",18353.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Income tax expense,nan.1,"(6,130)",-6130.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Royalty-related taxation (net of income tax benefit),nan.1,"(1,080)",-1080.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Total taxation expense,nan.1,"(7,210)",-7210.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Profit after taxation,nan.1,"11,143",11143.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Attributable to non-controlling interests,nan.1,"2,124",2124.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Attributable to BHP shareholders,nan.1,"9,019",9019.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Basic earnings per ordinary share (cents),nan.1,177.8,177.8,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Diluted earnings per ordinary share (cents),nan.1,177.4,177.4,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Profit after taxation,nan.1,"11,143",11143.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Gains/(losses) taken to equity,nan.1,346,346.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
(Gains)/losses transferred to the income statement,nan.1,(392),-392.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Tax recognised within other comprehensive income,nan.1,14,14.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Total items that may be reclassified subsequently to the income statement,nan.1,(32),-32.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Re-measurement (losses)/gains on pension and medical schemes,nan.1,(8),-8.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Equity investments held at fair value,nan.1,23,23.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Total items that will not be reclassified to the income statement,nan.1,18,18.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Total other comprehensive (loss)/income,nan.1,(14),-14.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Total comprehensive income,nan.1,"11,129",11129.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Attributable to non-controlling interests,nan.1,"2,119",2119.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Attributable to BHP shareholders,nan.1,"9,010",9010.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Revenue,nan.2,"55,658",55658.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
Other income,nan.2,"1,285",1285.0,E01,BHP Group,BHB_group_mining_-_23-25.pdf,1,0,"118
BHP Annual Report 2025",USD,
