row_label,column_header,value_raw,value,entity_id,entity_name,source_file,page,table_index,table_title,currency,unit_scale
26 734 937,Six months to Year to,"24 837 184
51 426 992",2483718451426992.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,1,0,,ZAR,
,Six months to Year to,2 892,2892.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,1,0,,ZAR,
1 468 384,Six months to Year to,"443 692
3 224 727",4436923224727.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,1,0,,ZAR,
1 530 236,Six months to Year to,"435 364
3 236 333",4353643236333.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,1,0,,ZAR,
1 530 023,Six months to Year to,"435 364
3 236 333",4353643236333.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,1,0,,ZAR,
1 468 384,Six months to Year to,"443 692
3.224 727",4436923.224727,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,1,0,,ZAR,
1 468 171,Six months to Year to,"443 692
3 224 727",4436923224727.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,1,0,,ZAR,
2026,As at As at,"2025
2025",20252025.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
3 023 397,As at As at,"2 732 105
3 087 950",27321053087950.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
3 906 827,As at As at,"3 666 276
3 685 047",36662763685047.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
240 381,As at As at,"209 286
215 37",20928621537.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
103 756,As at As at,"100 391
72 968",10039172968.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
42 136,As at As at,"15 182
12 50",151821250.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
107 500,As at As at,"112 792
127 980",112792127980.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
233 327,As at As at,"185 330
207 663",185330207663.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
14 410 894,As at As at,"12 769 562
14 240 885",1276956214240885.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
9 033 611,As at As at,"7 962 950
7 818 704",79629507818704.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
4100 643,As at As at,"3 022 751
3 139 516",30227513139516.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
180,As at As at,"1 831
2011",18312011.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
38 659,As at As at,"50 413
24 884",5041324884.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
1 237 801,As at As at,"1724014
3 255 770",17240143255770.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
,As at As at,7 603,7603.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
23 003 792,As at As at,"20 706 304
22 591 916",2070630422591916.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
6 098 282,As at As at,"6 391 593
6 857 593",63915936857593.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
2 339,As at As at,"2 381
2 360",23812360.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
1 064 953,As at As at,"1 064 953
1 064 953",10649531064953.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
5 079 356,As at As at,"5 328 450
5 816 985",53284505816985.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
6091 327,As at As at,"6 391 593
6 857 593",63915936857593.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
3 216 570,As at As at,"2970 891
2922 669",29708912922669.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
2 988 648,As at As at,"2795 959
2 708 327",27959592708327.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
,As at As at,"1691
26 922",169126922.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
13 688 940,As at As at,"11 343 820
12 811 654",1134382012811654.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
11 920 656,As at As at,"9 720091
10 912 537",972009110912537.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
1 425 359,As at As at,"1 301 331
1 334 154",13013311334154.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
233 750,As at As at,"252 854
400 710",252854400710.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
91 527,As at As at,"68 925
155 572",68925155572.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
17 648,As at As at,"619
8 681",6198681.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
23 003 792,As at As at,"20 706 304
22 591 916",2070630422591916.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,2,0,,ZAR,
(8 532),Cost of,(4 950),-4950.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,4,0,,ZAR,
18 924,Cost of,(10 171),-10171.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,4,0,,ZAR,
=,Cost of,(10.171),-10.171,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,4,0,,ZAR,
(1 955),Cost of,11 751,11751.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,4,0,,ZAR,
8 437,Cost of,(3 370),-3370.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,4,0,,ZAR,
o,Cost of,-,0.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,4,0,,ZAR,
(2 799),Cost of,(9 750),-9750.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,4,0,,ZAR,
o,Cost of,(9 750),-9750.0,E12,Clicks Group,Clicks_group_-_25&26(interim).pdf,4,0,,ZAR,
