row_label,column_header,value_raw,value,entity_id,entity_name,source_file,page,table_index,table_title,currency,unit_scale
Revenue,,"8,751.3",8751.3,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
Cost of sales,,"(3,680.8)",-3680.8,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
Investment income,,53.3,53.3,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
Finance expense,,(120.7),-120.7,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Gain on financial instruments, net",,58.1,58.1,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
Foreign exchange gain/(loss),,6.6,6.6,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
Share-based payments,,(25.4),-25.4,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Long-term incentive plan
30",,(43.2),-43.2,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
Exploration expense,,(297.8),-297.8,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Reversal of impairment of assets, net of impairment",,281.3,281.3,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Other costs, net",,(134.8),-134.8,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
Restructuring costs,,(10.3),-10.3,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Ghana expected credit loss
14.1",,(66.0),-66.0,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Profit on disposal of asset held for sale - Asanko Gold
15",,—,0.0,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"16 (c)
Profit on disposal of assets held for sale - Rusoro",,—,0.0,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Gain on remeasurement of 50% previously held interest in
Gruyere
18.3",,808.2,808.2,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Transaction costs on acquisition of Gold Road
18.3",,(51.4),-51.4,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Share of results of equity accounted investees, net of tax
19",,(2.3),-2.3,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Silicosis settlement costs
29.2",,(0.7),-0.7,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
Profit on disposal of assets,,1.1,1.1,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
Profit before royalties and taxation,,"5,526.5",5526.5,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Royalties
10",,(231.9),-231.9,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
Profit before taxation,,"5,294.6",5294.6,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Mining and income taxation
11",,"(1,649.2)",-1649.2,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
Profit from continuing operations,,"3,645.4",3645.4,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
Profit for the year,,"3,645.4",3645.4,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
Owners of the parent,,"3,567.4",3567.4,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
,,"3,567.4",3567.4,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
,,78.0,78.0,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
,,"3,645.4",3645.4,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Basic earnings per share — cents
12.1",,399,399.0,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
,,399,399.0,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
,,394,394.0,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
,,394,394.0,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Gain on financial instruments, net",nan.1,—,0.0,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Profit on disposal of asset held for sale - Asanko Gold
15",nan.1,5.6,5.6,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Silicosis settlement costs
29.2",nan.1,"0.3
41",0.341,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Loss from discontinued operation
15",nan.1,(18.9),-18.9,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
,nan.1,(18.9),-18.9,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Basic earnings per share — cents
12.1",nan.1,"139
79",13979.0,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
,nan.1,"139
81",13981.0,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
,nan.1,(2),-2.0,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
,nan.1,"138
77",13877.0,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
"Diluted loss per share from discontinued operation — cents
12.6",nan.1,(2),-2.0,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,1,0,"Notes
2025
2024
2023
Figures in millions unless otherwise stated",USD,
Non-current assets,,"12,176.8",12176.8,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,3,0,"2025
2024
Notes
Figures in millions unless otherwise stated",USD,
,,"11,336.8",11336.8,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,3,0,"2025
2024
Notes
Figures in millions unless otherwise stated",USD,
,,2.8,2.8,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,3,0,"2025
2024
Notes
Figures in millions unless otherwise stated",USD,
,,189.6,189.6,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,3,0,"2025
2024
Notes
Figures in millions unless otherwise stated",USD,
,,140.9,140.9,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,3,0,"2025
2024
Notes
Figures in millions unless otherwise stated",USD,
,,373.4,373.4,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,3,0,"2025
2024
Notes
Figures in millions unless otherwise stated",USD,
,,38.2,38.2,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,3,0,"2025
2024
Notes
Figures in millions unless otherwise stated",USD,
,,73.1,73.1,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,3,0,"2025
2024
Notes
Figures in millions unless otherwise stated",USD,
,,22.0,22.0,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,3,0,"2025
2024
Notes
Figures in millions unless otherwise stated",USD,
,,"2,970.9",2970.9,E05,Gold Fields,Gold_Fields_mining_-_23-25.pdf,3,0,"2025
2024
Notes
Figures in millions unless otherwise stated",USD,
