row_label,column_header,value_raw,value,entity_id,entity_name,source_file,page,table_index,table_title,currency,unit_scale
"Insurance revenue’
27",1,31 913,31913.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
"Insurance service expenses""?
27",1,(24 977),-24977.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
"Net expenses from reinsurance contracts
27",1,(1 347),-1347.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
Insurance service result,1,5 589,5589.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
Administration and other income,1,502,502.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
Net investment income,1,1 628,1628.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
,1,290,290.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
,1,1 284,1284.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
,1,51,51.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
,1,3,3.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
,1,(241),-241.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
Fair value adjustment to financial liabilities,1,(200),-200.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
Net insurance and investment result,1,7 278,7278.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
Marketing and administration expenses?,1,(1 646),-1646.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
"Finance costs
10",1,(73),-73.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
"Equity accounted earnings
19",1,127,127.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
"Profit on sale of assets held for sale
24",1,55,55.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
"Profit on change in shareholding of investment in associates
19",1,509,509.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
"Profit on sale of associates
19",1,44,44.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
"Impairment of investment in associates
19",1,(9),-9.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
Profit before taxation,1,6 285,6285.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
11,1,(1 794),-1794.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
PROFIT FOR THE YEAR,1,4491,4491.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
Ordinary shareholders',1,4061,4061.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
Non-controlling interests',1,430,430.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
PROFIT FOR THE YEAR,1,4491,4491.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
"Earnings per share (cents)
12",1,265.5,265.5,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
"Diluted earnings per share (cents)
12",1,261.0,261.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
"Insurance revenue’
27",2,26 833,26833.0,E07,OUTsurance Group,Outsurance_group_-_23-24.pdf,1,0,"2023
R million
Restated",ZAR,1000000.0
