row_label,column_header,value_raw,value,entity_id,entity_name,source_file,page,table_index,table_title,currency,unit_scale
37 131,1,31 913,31913.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
(28 668),1,(24 977),-24977.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
(882),1,(1 347),-1347.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
7581,1,5 589,5589.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
450,1,502,502.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
2177,1,1 628,1628.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
287,1,290,290.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
1349,1,1 284,1284.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
515,1,51,51.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
(296),1,(241),-241.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
(452),1,(343),-343.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
156,1,102,102.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
(211),1,(200),-200.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
9701,1,7 278,7278.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
(2 274),1,(1 646),-1646.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
(136),1,(73),-73.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
189,1,127,127.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
35,1,55,55.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
a,1,509,509.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
176,1,44,44.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
-,1,(9),-9.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
7 681,1,6 285,6285.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
(2 462),1,(1.794),-1.794,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
5 219,1,4491,4491.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
4707,1,4 061,4061.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
512,1,430,430.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
5 219,1,4491,4491.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
306.2,1,265.5,265.5,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
303.3,1,261.0,261.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,1,0,2024,ZAR,
5 219,1,4491,4491.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,2,0,2024,ZAR,
(115),1,(320),-320.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,2,0,2024,ZAR,
,1,(26),-26.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,2,0,2024,ZAR,
(520),1,(346),-346.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,2,0,2024,ZAR,
4699,1,4145,4145.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,2,0,2024,ZAR,
4210,1,3759,3759.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,2,0,2024,ZAR,
489,1,386,386.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,2,0,2024,ZAR,
4699,1,4145,4145.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,2,0,2024,ZAR,
Property and equipment,nan.1,15,15.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,3,0,as at 30 June,ZAR,
Intangible assets,nan.1,16,16.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,3,0,as at 30 June,ZAR,
Right-of-use assets,nan.1,17,17.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,3,0,as at 30 June,ZAR,
Investment in associates,nan.1,19,19.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,3,0,as at 30 June,ZAR,
Deferred tax,nan.1,20,20.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,3,0,as at 30 June,ZAR,
Reinsurance assets,nan.1,27,27.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,3,0,as at 30 June,ZAR,
Insurance assets,nan.1,27,27.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,3,0,as at 30 June,ZAR,
Fair value through profit or loss,nan.1,21,21.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,3,0,as at 30 June,ZAR,
Fair value through other comprehensive income,nan.1,21,21.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,3,0,as at 30 June,ZAR,
Measured at amortised cost,nan.1,21,21.0,E07,OUTsurance Group,Outsurance_group_-_24&25.pdf,3,0,as at 30 June,ZAR,
