row_label,column_header,value_raw,value,entity_id,entity_name,source_file,page,table_index,table_title,currency,unit_scale
54 846,Six months Twelve months,"48 455
13.2
94 696",4845513.294696,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,1,0,statement,ZAR,
50 390,Six months Twelve months,"45 221
87 669
11.4",452218766911.4,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,1,0,statement,ZAR,
3 738,Six months Twelve months,"2973
25.7
6 198",297325.76198,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,1,0,statement,ZAR,
22 394,Six months Twelve months,"18 961
18.1
37 702",1896118.137702,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,1,0,statement,ZAR,
475,Six months Twelve months,"426
11.5
959",42611.5959,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,1,0,statement,ZAR,
9 130,Six months Twelve months,"8179
5 933
11.6",8179593311.6,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,1,0,statement,ZAR,
6 331,Six months Twelve months,"5 789
9.4
1043",57899.41043,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,1,0,statement,ZAR,
6 308,Six months Twelve months,"5725
10.2
10 707",572510.210707,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,1,0,statement,ZAR,
155,Six months Twelve months,"6.2
315
146",6.2315146,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,1,0,statement,ZAR,
4692,Six months Twelve months,"4208
11.5
7 682",420811.57682,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,1,0,statement,ZAR,
3 445,Six months Twelve months,"3 055
2.8
5 637",30552.85637,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,1,0,statement,ZAR,
3357,Six months Twelve months,"3 053
0.0
5 636",30530.05636,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,1,0,statement,ZAR,
3 356,Six months Twelve months,"3 056
9.8
5 638",30569.85638,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,1,0,statement,ZAR,
3357,Six months Twelve months,"3 053
10.0
5 636",305310.05636,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,1,0,statement,ZAR,
Profit from continuing operations,Six months,3 445,3445.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Loss from discontinued operations,Six months,(88),-88.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
,Six months,3 357,3357.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Exchange differences on translation of foreign operations,Six months,111,111.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Net fair value gain on cash flow hedges,Six months,72,72.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Deferred taxation on cash flow hedges,Six months,(39),-39.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
"Other comprehensive income for the period, net of taxation",Six months,144,144.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
"Other comprehensive (loss)/income for the period, net of taxation",Six months,(1),-1.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Total comprehensive income for the period,Six months,3500,3500.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Owners of the parent,Six months,3 499,3499.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Total comprehensive income for the period,Six months,3 500,3500.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Continuing operations,Six months,3588,3588.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Discontinued operations,Six months,(89),-89.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Total comprehensive income for the period,Six months,3 499,3499.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Profit from continuing operations,Six months.1,3055,3055.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Loss from discontinued operations,Six months.1,(2),-2.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
,Six months.1,3 053,3053.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Exchange differences on translation of foreign operations,Six months.1,61,61.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Net fair value gain on cash flow hedges,Six months.1,437,437.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Deferred taxation on cash flow hedges,Six months.1,53),53.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
"Other comprehensive income for the period, net of taxation",Six months.1,445,445.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Total comprehensive income for the period,Six months.1,3 510,3510.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Owners of the parent,Six months.1,3.513,3.513,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Non-controlling interests,Six months.1,3),3.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Total comprehensive income for the period,Six months.1,3 510,3510.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Continuing operations,Six months.1,3 503,3503.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Discontinued operations,Six months.1,10,10.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Total comprehensive income for the period,Six months.1,3513,3513.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Profit from continuing operations,Twelve months,5 637,5637.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Loss from discontinued operations,Twelve months,(1),-1.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
,Twelve months,5 636,5636.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Exchange differences on translation of foreign operations,Twelve months,120,120.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Deferred taxation on cash flow hedges,Twelve months,(20),-20.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
"Other comprehensive income for the period, net of taxation",Twelve months,376,376.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Exchange differences on translation of foreign operations,Twelve months,(1),-1.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Total comprehensive income for the period,Twelve months,6 017,6017.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
Owners of the parent,Twelve months,6019,6019.0,E11,Pepkor Holdings,Pepkor_Holdings_-_25&26(interim).pdf,2,0,Condensed consolidated statement of comprehensive income,ZAR,
