row_label,column_header,value_raw,value,entity_id,entity_name,source_file,page,table_index,table_title,currency,unit_scale
,1,2454,2454.0,E08,Sanlam,Sanlam_23&24.pdf,1,0,"2024
2023
2024
2024
2024
2023
2024
R million
2023
2023",ZAR,1000000.0
,1,1163,1163.0,E08,Sanlam,Sanlam_23&24.pdf,1,0,"2024
2023
2024
2024
2024
2023
2024
R million
2023
2023",ZAR,1000000.0
,1,607,607.0,E08,Sanlam,Sanlam_23&24.pdf,1,0,"2024
2023
2024
2024
2024
2023
2024
R million
2023
2023",ZAR,1000000.0
,1,751,751.0,E08,Sanlam,Sanlam_23&24.pdf,1,0,"2024
2023
2024
2024
2024
2023
2024
R million
2023
2023",ZAR,1000000.0
,1,3 692,3692.0,E08,Sanlam,Sanlam_23&24.pdf,1,0,"2024
2023
2024
2024
2024
2023
2024
R million
2023
2023",ZAR,1000000.0
,1,2 768,2768.0,E08,Sanlam,Sanlam_23&24.pdf,1,0,"2024
2023
2024
2024
2024
2023
2024
R million
2023
2023",ZAR,1000000.0
,1,118,118.0,E08,Sanlam,Sanlam_23&24.pdf,1,0,"2024
2023
2024
2024
2024
2023
2024
R million
2023
2023",ZAR,1000000.0
,1,551,551.0,E08,Sanlam,Sanlam_23&24.pdf,1,0,"2024
2023
2024
2024
2024
2023
2024
R million
2023
2023",ZAR,1000000.0
,1,41 501,41501.0,E08,Sanlam,Sanlam_23&24.pdf,1,0,"2024
2023
2024
2024
2024
2023
2024
R million
2023
2023",ZAR,1000000.0
,1,364,364.0,E08,Sanlam,Sanlam_23&24.pdf,1,0,"2024
2023
2024
2024
2024
2023
2024
R million
2023
2023",ZAR,1000000.0
,1,5 341,5341.0,E08,Sanlam,Sanlam_23&24.pdf,1,0,"2024
2023
2024
2024
2024
2023
2024
R million
2023
2023",ZAR,1000000.0
,1,3 739,3739.0,E08,Sanlam,Sanlam_23&24.pdf,1,0,"2024
2023
2024
2024
2024
2023
2024
R million
2023
2023",ZAR,1000000.0
,1,19 798,19798.0,E08,Sanlam,Sanlam_23&24.pdf,1,0,"2024
2023
2024
2024
2024
2023
2024
R million
2023
2023",ZAR,1000000.0
,1,869,869.0,E08,Sanlam,Sanlam_23&24.pdf,1,0,"2024
2023
2024
2024
2024
2023
2024
R million
2023
2023",ZAR,1000000.0
,1,9941,9941.0,E08,Sanlam,Sanlam_23&24.pdf,1,0,"2024
2023
2024
2024
2024
2023
2024
R million
2023
2023",ZAR,1000000.0
,1,1449,1449.0,E08,Sanlam,Sanlam_23&24.pdf,1,0,"2024
2023
2024
2024
2024
2023
2024
R million
2023
2023",ZAR,1000000.0
,1,533,533.0,E08,Sanlam,Sanlam_23&24.pdf,1,0,"2024
2023
2024
2024
2024
2023
2024
R million
2023
2023",ZAR,1000000.0
