row_label,column_header,value_raw,value,entity_id,entity_name,source_file,page,table_index,table_title,currency,unit_scale
,Restated*,2023,2023.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
62 269,Restated*,54 485,54485.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
19 672,Restated*,16 601,16601.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
30 469,Restated*,26 781,26781.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
4 695,Restated*,4225,4225.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
2 478,Restated*,2312,2312.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
—,Restated*,22,22.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
67,Restated*,—,0.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
129,Restated*,128,128.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
=,Restated*,716,716.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
429,Restated*,647,647.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
3 297,Restated*,2 875,2875.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
416,Restated*,178,178.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
50 059,Restated*,47 965,47965.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
28 366,Restated*,25 090,25090.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
6 298,Restated*,5 697,5697.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
136,Restated*,444,444.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
402,Restated*,383,383.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
886,Restated*,421,421.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
680,Restated*,1 346,1346.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
3,Restated*,650,650.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
11 732,Restated*,12 548,12548.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
49 103,Restated*,46 576,46576.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
956,Restated*,1 389,1389.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
112 328,Restated*,102 450,102450.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
7516,Restated*,7516,7516.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
(2 616),Restated*,(2 624),-2624.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
22 891,Restated*,21 238,21238.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
27 791,Restated*,26 130,26130.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
(67),Restated*,148,148.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
27 724,Restated*,26 278,26278.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
43 066,Restated*,38 731,38731.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
36 702,Restated*,32 482,32482.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
5 788,Restated*,5 770,5770.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
8,Restated*,10,10.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
482,Restated*,400,400.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
86,Restated*,69,69.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
41 538,Restated*,37 441,37441.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
32 458,Restated*,25 106,25106.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
1219,Restated*,1 023,1023.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
3775,Restated*,3 100,3100.0,E09,Shoprite Holdings,Shopright_-_23&24.pdf,1,0,,ZAR,
