row_label,column_header,value_raw,value,entity_id,entity_name,source_file,page,table_index,table_title,currency,unit_scale
72 077,1,62 269,62269.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
22 536,1,19 672,19672.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
128,1,617,617.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
36 090,1,30 469,30469.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
5 700,1,4 695,4695.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
2 452,1,2478,2478.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
74,1,67,67.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
39,1,129,129.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
487,1,429,429.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
3 447,1,3 297,3297.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
585,1,416,416.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
52 867,1,50 059,50059.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
29 748,1,28 366,28366.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
5 706,1,6 298,6298.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
740,1,736,736.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
92,1,402,402.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
33,1,886,886.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
1 009,1,680,680.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
5,1,3,3.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
9 946,1,11.732,11.732,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
47 279,1,49 103,49103.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
5 588,1,956,956.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
124 944,1,112 328,112328.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
7 516,1,7 516,7516.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
(3 756),1,(2 616),-2616.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
26 434,1,22 891,22891.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
30 194,1,27 791,27791.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
(77),1,(67),-67.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
30 117,1,27 724,27724.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
50 286,1,43 066,43066.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
43 116,1,36 702,36702.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
6 504,1,5 788,5788.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
8,1,8,8.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
582,1,482,482.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
76,1,86,86.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
44.541,1,41 538,41538.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
"34 084
1 064
3 904
489",1,"32 458
1219
3775
205
784
202
2 895",3.245812193775206e+25,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
"677
158
1 863",1,"32 458
1219
3775
205
784
202
2 895",3.245812193775206e+25,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
94 827,1,84 604,84604.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
124 944,1,112 328,112328.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,0,position,ZAR,
2025,Restated*,2024,2024.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
256 682,Restated*,236 328,236328.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
252 701,Restated*,232 088,232088.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
(191 259),Restated*,(176 549),-176549.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
61 442,Restated*,55 539,55539.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
3 763,Restated*,3 927,3927.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
218,Restated*,313,313.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
250,Restated*,268,268.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
(8 012),Restated*,(6 845),-6845.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
(20 268),Restated*,(18 289),-18289.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
(76),Restated*,(179),-179.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
(22 366),Restated*,(21 916),-21916.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
14 951,Restated*,12 818,12818.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
(3),Restated*,27,27.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
95,Restated*,96,96.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
(100),Restated*,(279),-279.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
14 943,Restated*,12 662,12662.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
357,Restated*,517,517.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
(6 115),Restated*,(4 153),-4153.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
10 185,Restated*,9 026,9026.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
(2 793),Restated*,(2 805),-2805.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
7 392,Restated*,6 221,6221.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
7 583,Restated*,6 221,6221.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
(136),Restated*,(871),-871.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
,Restated*,2,2.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
(299),Restated*,(628),-628.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
10,Restated*,4,4.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
,Restated*,(33),-33.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
,Restated*,27,27.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
43,Restated*,(227),-227.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
101,Restated*,(63),-63.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
7 447,Restated*,5 350,5350.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
7 583,Restated*,6 221,6221.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
7 585,Restated*,6 248,6248.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
(2),Restated*,(27),-27.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
7447,Restated*,5 350,5350.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
7 448,Restated*,5 382,5382.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
(1),Restated*,(32),-32.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
7 448,Restated*,5 382,5382.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
7 153,Restated*,5 399,5399.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
295,Restated*,(17),-17.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
1 367.2,Restated*,149.5,149.5,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
1 362.3,Restated*,144.7,144.7,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
1 401.2,Restated*,148.6,148.6,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
1 396.2,Restated*,143.7,143.7,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,1,1,,ZAR,
,1,2024,2024.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
10 984,1,13 841,13841.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
15 380,1,12 828,12828.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
(767),1,(1 009),-1009.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
9 589,1,8 557,8557.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
(2 312),1,3 252,3252.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
21 890,1,23 628,23628.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
861,1,1212,1212.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
(6 166),1,(4 305),-4305.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
750,1,568,568.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
(3 985),1,(3 743),-3743.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
(3.366),1,(3.519),-3.519,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
(7.365),1,(6.779),-6.779,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
(6 320),1,(6 718),-6718.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
(1 679),1,(2 012),-2012.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
(10),1,—,0.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
(11),1,(32),-32.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
=,1,6),6.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
,1,(4),-4.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
323,1,400,400.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
9,1,39,39.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
774,1,368,368.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
(791),1,(339),-339.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
1 061,1,523,523.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
(635),1,(663),-663.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
578,1,593,593.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
,1,285,285.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
(111),1,(119),-119.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
(82),1,(44),-44.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
=,1,(61),-61.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
(4.298),1,(4.012),-4.012,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
(3 870),1,(3 386),-3386.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
(1 432),1,(239),-239.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
38,1,11,11.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
2 049,1,1316,1316.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
(679),1,3 050,3050.0,E09,Shoprite Holdings,Shopright_Holdings_-_24&25.pdf,2,0,,ZAR,
