row_label,column_header,value_raw,value,entity_id,entity_name,source_file,page,table_index,table_title,currency,unit_scale
Revenue,2025 Reviewed,152 227,152227.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Direct expenses,2025 Reviewed,(59 340),-59340.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Staff expenses,2025 Reviewed,(10 435),-10435.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Publicity expenses,2025 Reviewed,(1914),-1914.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Net credit losses on financial assets,2025 Reviewed,(2 096),-2096.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Other operating expenses,2025 Reviewed,(23 407),-23407.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Depreciation and amortisation,2025 Reviewed,(21 934),-21934.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Impairment losses,2025 Reviewed,(34),-34.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Net profit from associates and joint ventures,2025 Reviewed,2724,2724.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Operating profit,2025 Reviewed,35791,35791.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Finance income,2025 Reviewed,1460,1460.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Finance costs,2025 Reviewed,(8 093),-8093.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Net loss on remeasurement and disposal of financial instruments,2025 Reviewed,(385),-385.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Equity shareholders,2025 Reviewed,16598,16598.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Non-controlling interests,2025 Reviewed,3293,3293.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Revenue,2024 Audited,150 594,150594.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Direct expenses,2024 Audited,(57 700),-57700.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Staff expenses,2024 Audited,(10 136),-10136.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Publicity expenses,2024 Audited,(2 156),-2156.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Net credit losses on financial assets,2024 Audited,(846),-846.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Other operating expenses,2024 Audited,(23 830),-23830.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Depreciation and amortisation,2024 Audited,(22 786),-22786.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Impairment losses,2024 Audited,—,0.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Net profit from associates and joint ventures,2024 Audited,2197,2197.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Operating profit,2024 Audited,35 337,35337.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Net loss on disposal of subsidiaries,2024 Audited,(13),-13.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Finance income,2024 Audited,1416,1416.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Finance costs,2024 Audited,(8 163),-8163.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Net loss on remeasurement and disposal of financial instruments,2024 Audited,(454),-454.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Profit before tax,2024 Audited,28 123,28123.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Taxation,2024 Audited,(8 859),-8859.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
Net profit,2024 Audited,19 264,19264.0,E17,Vodacom Group,Vodacom_Group_-_24&25.pdf,1,0,for the year ended 31 March 2025,ZAR,1000000.0
