entity_id,entity_name,line_item,FY2024,FY2025,FY2026
E01,BHP Group,Letters of credit - notional,529993815.7,613907310.82,691115215.32
E01,BHP Group,Guarantees - notional,335229400.86,438984673.49,510614473.37
E01,BHP Group,Export collections - notional,338990922.46999997,225814422.78,242820429.46
E01,BHP Group,Total trade finance notional,1204214139.03,1278706407.0900002,1444550118.15
E01,BHP Group,Of which export,493442861.45,677491425.67,750705754.32
E01,BHP Group,Of which import,710771277.58,601214981.42,693844363.83
E01,BHP Group,Open exposure at period end,569585530.48,569182621.8100001,739424251.77
E01,BHP Group,Settled during period,564719707.0600001,637106949.65,619331457.09
E01,BHP Group,Weighted average tenor (days),103.79429163440189,103.44133259534868,105.98629498198002
E01,BHP Group,Instrument count,418.0,418.0,471.0
E01,BHP Group,Counterparty countries,11.0,11.0,11.0
E02,Glencore,Letters of credit - notional,428942160.91,382424309.86,412752273.0
E02,Glencore,Guarantees - notional,410835781.12,428598054.43,364628266.56
E02,Glencore,Export collections - notional,240110913.29,156137516.18,307693036.29
E02,Glencore,Total trade finance notional,1079888855.32,967159880.47,1085073575.85
E02,Glencore,Of which export,425788623.76,465551521.91,609356594.16
E02,Glencore,Of which import,654100231.5600001,501608358.56,475716981.69
E02,Glencore,Open exposure at period end,517260780.5,620955005.77,655932842.01
E02,Glencore,Settled during period,488238575.66,259205074.07,403342362.31
E02,Glencore,Weighted average tenor (days),94.81201800699216,112.90819436366938,116.21967111484886
E02,Glencore,Instrument count,250.0,245.0,242.0
E02,Glencore,Counterparty countries,16.0,16.0,16.0
E03,Anglo American,Letters of credit - notional,404622599.99,314405240.21,267607734.23
E03,Anglo American,Guarantees - notional,266464853.09,310296498.5,238941628.38
E03,Anglo American,Export collections - notional,241897766.02,167549925.3,125467264.97
E03,Anglo American,Total trade finance notional,912985219.1,792251664.01,632016627.58
E03,Anglo American,Of which export,380991446.88,318098623.35,245296472.39000002
E03,Anglo American,Of which import,531993772.21999997,474153040.65999997,386720155.19
E03,Anglo American,Open exposure at period end,425006044.48,414406136.65000004,322430455.45
E03,Anglo American,Settled during period,412376816.46,322476206.75,253091960.32
E03,Anglo American,Weighted average tenor (days),108.50718812973388,98.78028070183036,97.64583131080413
E03,Anglo American,Instrument count,424.0,330.0,305.0
E03,Anglo American,Counterparty countries,17.0,17.0,17.0
E04,AngloGold Ashanti,Letters of credit - notional,224068898.51,207808268.27,236165674.65
E04,AngloGold Ashanti,Guarantees - notional,130030236.95,147592876.28,173565064.59
E04,AngloGold Ashanti,Export collections - notional,79003635.71,92167897.36,105963116.25
E04,AngloGold Ashanti,Total trade finance notional,433102771.16999996,447569041.91,515693855.49
E04,AngloGold Ashanti,Of which export,196788814.49,219864787.73,250212821.04
E04,AngloGold Ashanti,Of which import,236313956.68,227704254.18,265481034.45
E04,AngloGold Ashanti,Open exposure at period end,242818581.03,249281441.57,245198656.89000002
E04,AngloGold Ashanti,Settled during period,170404641.98,164858772.39000002,234650318.07
E04,AngloGold Ashanti,Weighted average tenor (days),108.89355115136885,108.32193789042044,103.89094093722223
E04,AngloGold Ashanti,Instrument count,283.0,274.0,305.0
E04,AngloGold Ashanti,Counterparty countries,19.0,19.0,19.0
E05,Gold Fields,Letters of credit - notional,325759661.4,212152560.72,306007606.78
E05,Gold Fields,Guarantees - notional,144571040.02,167100279.39,220111149.31
E05,Gold Fields,Export collections - notional,77354647.58,58779850.79,169266995.76
E05,Gold Fields,Total trade finance notional,547685349.0,438032690.90000004,695385751.8499999
E05,Gold Fields,Of which export,204105311.23,205648727.41,346170529.38
E05,Gold Fields,Of which import,343580037.77,232383963.49,349215222.46999997
E05,Gold Fields,Open exposure at period end,339674521.37,197325399.58,396225053.29
E05,Gold Fields,Settled during period,166215298.22,200024862.21,251790814.57999998
E05,Gold Fields,Weighted average tenor (days),113.02385649410535,104.81469796653025,114.27735014002933
E05,Gold Fields,Instrument count,298.0,292.0,341.0
E05,Gold Fields,Counterparty countries,15.0,15.0,15.0
E06,Valterra Platinum,Letters of credit - notional,32010282.68,71492639.79,55625234.62
E06,Valterra Platinum,Guarantees - notional,48512920.94,42504520.16,48188284.29
E06,Valterra Platinum,Export collections - notional,12005869.18,17613098.74,11564801.32
E06,Valterra Platinum,Total trade finance notional,92529072.80000001,131610258.69,115378320.22999999
E06,Valterra Platinum,Of which export,31398567.36,46859320.24,52626310.59
E06,Valterra Platinum,Of which import,61130505.44,84750938.45,62752009.64
E06,Valterra Platinum,Open exposure at period end,39696304.79,55268983.1,45968976.64
E06,Valterra Platinum,Settled during period,51832249.1,64836192.79,49180371.349999994
E06,Valterra Platinum,Weighted average tenor (days),95.9053251093423,123.21554371720231,132.36668375094786
E06,Valterra Platinum,Instrument count,59.0,75.0,70.0
E06,Valterra Platinum,Counterparty countries,15.0,16.0,15.0
E07,OUTsurance Group,Letters of credit - notional,11408850.9,6997618.26,21879065.21
E07,OUTsurance Group,Guarantees - notional,20268634.37,62559638.37,39981131.69
E07,OUTsurance Group,Export collections - notional,7926603.38,14568648.969999999,16747268.0
E07,OUTsurance Group,Total trade finance notional,39604088.650000006,84125905.6,78607464.9
E07,OUTsurance Group,Of which export,18167122.64,32963695.22,38690659.14
E07,OUTsurance Group,Of which import,21436966.01,51162210.38,39916805.76
E07,OUTsurance Group,Open exposure at period end,21229999.63,51144085.22,43365718.87
E07,OUTsurance Group,Settled during period,12745513.24,29881639.0,25257368.23
E07,OUTsurance Group,Weighted average tenor (days),144.6916922730401,93.1591900759283,95.47009711669254
E07,OUTsurance Group,Instrument count,42.0,63.0,86.0
E07,OUTsurance Group,Counterparty countries,11.0,10.0,11.0
E08,Sanlam,Letters of credit - notional,48028371.6,49445729.22,30312455.84
E08,Sanlam,Guarantees - notional,147082573.45,103022264.92,89637697.7
E08,Sanlam,Export collections - notional,50282445.24,29829149.22,32386068.86
E08,Sanlam,Total trade finance notional,245393390.29,182297143.35999998,152336222.4
E08,Sanlam,Of which export,110506205.19,93998832.53,72993105.66
E08,Sanlam,Of which import,134887185.1,88298310.83,79343116.74000001
E08,Sanlam,Open exposure at period end,115718821.76,84332045.98,49844621.63
E08,Sanlam,Settled during period,104313869.82000001,93992527.14,94232049.2
E08,Sanlam,Weighted average tenor (days),98.10611240648832,96.58390559708218,99.87389143470057
E08,Sanlam,Instrument count,144.0,119.0,99.0
E08,Sanlam,Counterparty countries,21.0,21.0,20.0
E09,Shoprite Holdings,Letters of credit - notional,411227534.24,518258611.47,511292503.56
E09,Shoprite Holdings,Guarantees - notional,174266067.07999998,197812638.83,211872712.71
E09,Shoprite Holdings,Export collections - notional,647800564.78,756961124.9,815925370.24
E09,Shoprite Holdings,Total trade finance notional,1233294166.1,1473032375.2,1539090586.51
E09,Shoprite Holdings,Of which export,495147027.01,673480558.05,744011907.96
E09,Shoprite Holdings,Of which import,738147139.09,799551817.15,795078678.55
E09,Shoprite Holdings,Open exposure at period end,584031568.74,729393079.78,770708486.89
E09,Shoprite Holdings,Settled during period,570739076.72,634443157.43,645877146.74
E09,Shoprite Holdings,Weighted average tenor (days),111.71913510513443,102.51680385897603,109.95199334129674
E09,Shoprite Holdings,Instrument count,691.0,687.0,720.0
E09,Shoprite Holdings,Counterparty countries,22.0,22.0,22.0
E10,Bid Corporation,Letters of credit - notional,513022278.08,683370632.99,671540946.35
E10,Bid Corporation,Guarantees - notional,295016725.7,405574028.11,284337742.26
E10,Bid Corporation,Export collections - notional,799706019.76,875255154.36,922820055.89
E10,Bid Corporation,Total trade finance notional,1607745023.54,1964199815.46,1878698744.5
E10,Bid Corporation,Of which export,715643501.97,726943945.52,873790148.97
E10,Bid Corporation,Of which import,892101521.57,1237255869.94,1004908595.53
E10,Bid Corporation,Open exposure at period end,894421124.26,880114701.14,1032874310.9
E10,Bid Corporation,Settled during period,558709207.6899999,963516970.93,742107848.6899999
E10,Bid Corporation,Weighted average tenor (days),102.63618682803813,108.01939700114526,101.25430141476842
E10,Bid Corporation,Instrument count,824.0,953.0,974.0
E10,Bid Corporation,Counterparty countries,16.0,16.0,16.0
E11,Pepkor Holdings,Letters of credit - notional,524850121.27,442623133.3,548265392.29
E11,Pepkor Holdings,Guarantees - notional,255099717.65,264563917.75,184739836.57
E11,Pepkor Holdings,Export collections - notional,732334180.08,773735822.78,800072177.59
E11,Pepkor Holdings,Total trade finance notional,1512284019.0,1480922873.83,1533077406.4499998
E11,Pepkor Holdings,Of which export,660622123.49,774046574.47,713681474.42
E11,Pepkor Holdings,Of which import,851661895.51,706876299.36,819395932.03
E11,Pepkor Holdings,Open exposure at period end,740990932.02,811578436.15,746444749.54
E11,Pepkor Holdings,Settled during period,651436803.02,555393326.5,651340794.84
E11,Pepkor Holdings,Weighted average tenor (days),108.6839768671456,111.51736194778226,111.34015498500337
E11,Pepkor Holdings,Instrument count,1073.0,1001.0,1077.0
E11,Pepkor Holdings,Counterparty countries,22.0,22.0,22.0
E12,Clicks Group,Letters of credit - notional,32189562.6,23447286.65,18807700.99
E12,Clicks Group,Guarantees - notional,5914812.63,8241160.31,6203885.96
E12,Clicks Group,Export collections - notional,35987515.1,66062269.72,38855955.68
E12,Clicks Group,Total trade finance notional,74091890.33000001,97750716.67999999,63867542.629999995
E12,Clicks Group,Of which export,38116706.72,38756518.379999995,23083081.02
E12,Clicks Group,Of which import,35975183.61,58994198.3,40784461.61
E12,Clicks Group,Open exposure at period end,40583535.92,37919486.33,29010349.95
E12,Clicks Group,Settled during period,27461740.27,43510443.01,30554601.26
E12,Clicks Group,Weighted average tenor (days),93.98538972800966,108.29117671181046,118.34656884465134
E12,Clicks Group,Instrument count,78.0,63.0,60.0
E12,Clicks Group,Counterparty countries,19.0,18.0,18.0
E13,NEPI Rockcastle,Letters of credit - notional,353410.93,328606.99,0.0
E13,NEPI Rockcastle,Guarantees - notional,569849.38,1419303.03,3904356.82
E13,NEPI Rockcastle,Export collections - notional,588355.24,596774.55,0.0
E13,NEPI Rockcastle,Total trade finance notional,1511615.55,2344684.5700000003,3904356.82
E13,NEPI Rockcastle,Of which export,1463765.68,1949320.7000000002,0.0
E13,NEPI Rockcastle,Of which import,47849.87,395363.87,3904356.82
E13,NEPI Rockcastle,Open exposure at period end,737661.29,1021736.13,1828765.27
E13,NEPI Rockcastle,Settled during period,773954.26,0.0,2075591.5499999998
E13,NEPI Rockcastle,Weighted average tenor (days),129.94566991587246,71.48965031147024,121.71834537909884
E13,NEPI Rockcastle,Instrument count,6.0,6.0,8.0
E13,NEPI Rockcastle,Counterparty countries,3.0,4.0,5.0
E14,Prosus,Letters of credit - notional,30290969.96,13090499.51,12495597.77
E14,Prosus,Guarantees - notional,20456352.810000002,2851582.13,7769874.4799999995
E14,Prosus,Export collections - notional,1335399.0,448287.13,12110886.5
E14,Prosus,Total trade finance notional,52082721.77,16390368.770000001,32376358.75
E14,Prosus,Of which export,7575820.86,2412572.42,6795159.37
E14,Prosus,Of which import,44506900.91,13977796.35,25581199.38
E14,Prosus,Open exposure at period end,43875525.76,15364750.600000001,1724870.59
E14,Prosus,Settled during period,7176817.06,1025618.1699999999,30295901.96
E14,Prosus,Weighted average tenor (days),82.65325306845997,151.29487351674763,98.22632643795991
E14,Prosus,Instrument count,14.0,13.0,11.0
E14,Prosus,Counterparty countries,7.0,8.0,7.0
E15,Naspers,Letters of credit - notional,13016999.39,13199571.19,10429293.74
E15,Naspers,Guarantees - notional,15076351.75,6084583.88,18657055.37
E15,Naspers,Export collections - notional,18288089.08,21316053.77,16301992.29
E15,Naspers,Total trade finance notional,46381440.22,40600208.84,45388341.4
E15,Naspers,Of which export,23138374.66,25653656.45,11612839.049999999
E15,Naspers,Of which import,23243065.56,14946552.39,33775502.35
E15,Naspers,Open exposure at period end,20212412.21,28080500.54,33401487.64
E15,Naspers,Settled during period,25231239.54,9352269.39,11561322.11
E15,Naspers,Weighted average tenor (days),114.96448971307947,149.99697850445835,156.05405066200547
E15,Naspers,Instrument count,32.0,28.0,28.0
E15,Naspers,Counterparty countries,10.0,9.0,11.0
E16,MTN Group,Letters of credit - notional,522226442.15,625304149.14,571940985.38
E16,MTN Group,Guarantees - notional,650931241.92,545479541.18,552807603.62
E16,MTN Group,Export collections - notional,295162072.18,321591263.44,318420571.97
E16,MTN Group,Total trade finance notional,1468319756.25,1492374953.76,1443169160.97
E16,MTN Group,Of which export,659957778.48,626514210.62,612168144.39
E16,MTN Group,Of which import,808361977.77,865860743.14,831001016.58
E16,MTN Group,Open exposure at period end,700157986.7,742228362.94,678998698.85
E16,MTN Group,Settled during period,663110694.1899999,648455117.87,645897848.28
E16,MTN Group,Weighted average tenor (days),105.55752380022504,115.48420051564749,100.94381551704895
E16,MTN Group,Instrument count,835.0,794.0,784.0
E16,MTN Group,Counterparty countries,20.0,20.0,20.0
E17,Vodacom Group,Letters of credit - notional,32998459.46,63047840.22,61604758.66
E17,Vodacom Group,Guarantees - notional,84649445.54,63285258.51,84743474.71
E17,Vodacom Group,Export collections - notional,20513260.4,71226548.82000001,34390640.46
E17,Vodacom Group,Total trade finance notional,138161165.4,197559647.55,180738873.83
E17,Vodacom Group,Of which export,59029630.0,72430358.49,88368566.45
E17,Vodacom Group,Of which import,79131535.4,125129289.06,92370307.38
E17,Vodacom Group,Open exposure at period end,42148064.72,143059390.18,76446327.92999999
E17,Vodacom Group,Settled during period,76780889.67999999,45877704.29,82671641.48
E17,Vodacom Group,Weighted average tenor (days),121.05275819387377,99.62269001476561,105.75155188295442
E17,Vodacom Group,Instrument count,84.0,106.0,113.0
E17,Vodacom Group,Counterparty countries,18.0,21.0,21.0
E18,The Bidvest Group,Letters of credit - notional,543627199.62,580216737.28,629054309.47
E18,The Bidvest Group,Guarantees - notional,276784958.56,300342003.72,370953368.66
