entity_id,entity_name,fiscal_year,status,reported_revenue,note,computed_revenue,_merge,difference,abs_difference,pct_diff_vs_reported,ratio_reported_to_computed
E01,BHP Group,FY2024,have,902216180000.0,,9030266199.733294,both,-893185913800.2667,893185913800.2667,-98.9991017230778,99.91025292550586
E01,BHP Group,FY2025,have,830957020000.0,,9286848770.130972,both,-821670171229.869,821670171229.869,-98.88239120115611,89.47674723341932
E01,,FY2026,,,,10061486336.032804,right_only,,,,
E02,Glencore,FY2024,have,3743602240000.0,"implied coverage 1,497x outside plausible range",2995478549.8797097,both,-3740606761450.12,3740606761450.12,-99.91998405926053,1249.750975566269
E02,Glencore,FY2025,have,4012542350000.0,"implied coverage 1,497x outside plausible range",2806957445.2491302,both,-4009735392554.751,4009735392554.751,-99.9300454125986,1429.4988179430231
E02,Glencore,FY2026,have,,"implied coverage 1,497x outside plausible range",3101572678.184198,both,,,,
E03,Anglo American,FY2024,have,495385363200.0,,6260780163.5315485,both,-489124583036.46844,489124583036.46844,-98.73617982511851,79.12518092961845
E03,Anglo American,FY2025,have,286787592000.0,,5218024479.548811,both,-281569567520.4512,281569567520.4512,-98.18052641567951,54.96095181692168
E03,Anglo American,FY2026,have,299733033600.0,,4629634158.362787,both,-295103399441.6372,295103399441.6372,-98.45541410542651,64.7422719262977
E04,AngloGold Ashanti,FY2024,have,74052451200.0,,1227000940.9500656,both,-72825450259.04993,72825450259.04993,-98.34306505582617,60.352399683297115
E04,AngloGold Ashanti,FY2025,have,93624148800.0,,1221527422.8425632,both,-92402621377.15744,92402621377.15744,-98.69528595079461,76.64514692771394
E04,AngloGold Ashanti,FY2026,have,159886708800.0,,1311158097.5740955,both,-158575550702.4259,158575550702.4259,-99.17994553304978,121.94311967094004
E05,Gold Fields,FY2024,have,72827550000.0,,1085366203.831007,both,-71742183796.16899,71742183796.16899,-98.5096763466147,67.09951880106574
E05,Gold Fields,FY2025,have,84182174240.0,,1098905973.6977572,both,-83083268266.30225,83083268266.30225,-98.69460965623813,76.60543873169756
E05,Gold Fields,FY2026,have,141630164070.0,,1145855483.7053783,both,-140484308586.29462,140484308586.29462,-99.19095237146018,123.6021174432987
E06,,FY2024,,,,82560942.4413936,right_only,,,,
E06,Valterra Platinum,FY2025,have,116398000000.0,,82577519.33932224,both,-116315422480.66068,116315422480.66068,-99.92905589499877,1409.5603855778813
E06,Valterra Platinum,FY2026,have,155856000000.0,,92639565.46511242,both,-155763360434.53488,155763360434.53488,-99.94056079620603,1682.3913110720987
E07,OUTsurance Group,FY2024,missing,31913000000.0,,190824528.87,both,-31722175471.13,31722175471.13,-99.40204766436875,167.23741014312088
E07,OUTsurance Group,FY2025,missing,37131000000.0,,353306866.32,both,-36777693133.68,36777693133.68,-99.04848545334087,105.09560820810486
E07,,FY2026,,,,408159864.11,right_only,,,,
E08,Sanlam,FY2024,missing,,,9091517770.77,both,,,,
E08,Sanlam,FY2025,missing,,,7630186663.09,both,,,,
E08,,FY2026,,,,6154836080.87,right_only,,,,
E09,Shoprite Holdings,FY2024,missing,236328000000.0,,3599594026.42,both,-232728405973.58,232728405973.58,-98.47686519311296,65.65407050501236
E09,Shoprite Holdings,FY2025,missing,256682000000.0,,3536915569.84,both,-253145084430.16,253145084430.16,-98.62206326511404,72.57227234621593
E09,,FY2026,,,,3607277398.31,right_only,,,,
E10,Bid Corporation,FY2024,have,225905337000.0,,3507819994.079999,both,-222397517005.92,222397517005.92,-98.44721685611174,64.40049300740944
E10,Bid Corporation,FY2025,have,235591182000.0,,4172569392.17,both,-231418612607.83,231418612607.83,-98.22889407118386,56.46189670136982
E10,,FY2026,,,,5008688995.77,right_only,,,,
E11,Pepkor Holdings,FY2024,missing,78960000000.0,,11282527419.97,both,-67677472580.03,67677472580.03,-85.71108482779889,6.998431916969359
E11,Pepkor Holdings,FY2025,missing,85136000000.0,,11407537510.270002,both,-73728462489.73,73728462489.73,-86.60080634482475,7.463135661254989
E11,Pepkor Holdings,FY2026,missing,95340000000.0,,11257437378.69,both,-84082562621.31,84082562621.31,-88.1923249646633,8.469067763190568
E12,Clicks Group,FY2024,have,48609808000.0,,355507963.12,both,-48254300036.88,48254300036.88,-99.26864972780801,136.7333872732184
E12,Clicks Group,FY2025,have,51426992000.0,,333704383.08,both,-51093287616.92,51093287616.92,-99.35111043811389,154.10942920600252
E12,,FY2026,,,,330276515.25,right_only,,,,
E13,NEPI Rockcastle,FY2024,missing,14278290133.64,,50314126.86,both,-14227976006.779999,14227976006.779999,-99.64761798234188,283.7829258842076
E13,NEPI Rockcastle,FY2025,missing,15420595181.53,,84657358.4,both,-15335937823.130001,15335937823.130001,-99.451011083532,182.15303988896966
E13,NEPI Rockcastle,FY2026,missing,17256053024.35,,92194217.46,both,-17163858806.89,17163858806.89,-99.46572824428678,187.17066536018731
E14,Prosus,FY2024,have,88477381300.0,,1028824982.46,both,-87448556317.54,87448556317.54,-98.83718870592297,85.99847671704447
E14,Prosus,FY2025,have,99854663000.0,,1088134693.61,both,-98766528306.39,98766528306.39,-98.91028154227509,91.76682223845081
E14,Prosus,FY2026,missing,157064749500.0,,1020641813.87,both,-156044107686.13,156044107686.13,-99.3501776705982,153.88821755641442
E15,Naspers,FY2024,missing,104078660900.0,,850202238.33,both,-103228458661.67,103228458661.67,-99.18311570212563,122.41635720041776
E15,Naspers,FY2025,missing,116216585900.0,,911755712.88,both,-115304830187.12,115304830187.12,-99.21546851009327,127.46460949819763
E15,Naspers,FY2026,missing,175562947200.0,,873123581.92,both,-174689823618.08,174689823618.08,-99.50267206386928,201.07456817732128
E16,MTN Group,FY2024,have,188001000000.0,,4386125278.62,both,-183614874721.38,183614874721.38,-97.66696704878166,42.862660790015205
E16,MTN Group,FY2025,have,226707000000.0,,4374909372.12,both,-222332090627.88,222332090627.88,-98.07023630848629,51.81981630173564
E16,MTN Group,FY2026,have,226707000000.0,,4294907664.22,both,-222412092335.78,222412092335.78,-98.1055249003251,52.785069604324626
E17,Vodacom Group,FY2024,have,150594000000.0,,934893922.98,both,-149659106077.02,149659106077.02,-99.37919576943304,161.0813765052376
E17,Vodacom Group,FY2025,have,152227000000.0,,1008558602.2,both,-151218441397.8,151218441397.8,-99.3374640489532,150.93520561714763
E17,Vodacom Group,FY2026,have,167652000000.0,,844970574.35,both,-166807029425.65,166807029425.65,-99.49599731923865,198.4116430669406
E18,The Bidvest Group,FY2024,have,120708123000.0,,1485255405.53,both,-119222867594.47,119222867594.47,-98.76954808954324,81.27095350104206
E18,The Bidvest Group,FY2025,have,126605406000.0,,1549561038.45,both,-125055844961.55,125055844961.55,-98.77607040061939,81.70404576423867
E18,,FY2026,,,,1706627785.05,right_only,,,,
E19,Aspen Pharmacare,FY2024,have,44706000000.0,impossible Gross margin proxy (-0.11),1185149212.39,both,-43520850787.61,43520850787.61,-97.34901531698206,37.721832434790905
E19,Aspen Pharmacare,FY2025,have,43363000000.0,impossible Gross margin proxy (-0.11),1136949051.78,both,-42226050948.22,42226050948.22,-97.37806643502526,38.1397916926103
E19,,FY2026,,,,1284336668.38,right_only,,,,
E20,Shaftesbury Capital plc,FY2024,have,4961879914.14,,47188054.69,both,-4914691859.450001,4914691859.450001,-99.04898837725746,105.15118596722981
E20,Shaftesbury Capital plc,FY2025,have,5336850000.0,,63056150.68,both,-5273793849.32,5273793849.32,-98.81847624197793,84.63646991526124
E20,Shaftesbury Capital plc,FY2026,have,5219696660.01,,62869662.09,both,-5156826997.92,5156826997.92,-98.7955303500361,83.0240928054907
