entity_id,entity_name,sector,fiscal_year,statement,line_item,line_order,value,is_ratio
E01,BHP Group,mining,FY2024,cash_flow,Receipts from customers,0,9030266199.733294,False
E01,BHP Group,mining,FY2025,cash_flow,Receipts from customers,0,9286848770.130972,False
E01,BHP Group,mining,FY2026,cash_flow,Receipts from customers,0,10061486336.032804,False
E01,BHP Group,mining,FY2024,cash_flow,Payments to suppliers,1,-2091275620.75,False
E01,BHP Group,mining,FY2025,cash_flow,Payments to suppliers,1,-2211751003.28,False
E01,BHP Group,mining,FY2026,cash_flow,Payments to suppliers,1,-2394979495.81,False
E01,BHP Group,mining,FY2024,cash_flow,Payments to employees,2,-3142129.57,False
E01,BHP Group,mining,FY2025,cash_flow,Payments to employees,2,-2864428.52,False
E01,BHP Group,mining,FY2026,cash_flow,Payments to employees,2,-2738942.03,False
E01,BHP Group,mining,FY2024,cash_flow,Taxation paid,3,-6912309.44,False
E01,BHP Group,mining,FY2025,cash_flow,Taxation paid,3,-8290300.72,False
E01,BHP Group,mining,FY2026,cash_flow,Taxation paid,3,-5597955.5600000005,False
E01,BHP Group,mining,FY2024,cash_flow,Net cash from operating activities,4,6928936139.973294,False
E01,BHP Group,mining,FY2025,cash_flow,Net cash from operating activities,4,7063943037.6109705,False
E01,BHP Group,mining,FY2026,cash_flow,Net cash from operating activities,4,7658169942.632805,False
E01,BHP Group,mining,FY2024,cash_flow,Intragroup sweeps received,5,2214330873.69,False
E01,BHP Group,mining,FY2025,cash_flow,Intragroup sweeps received,5,2412574029.51,False
E01,BHP Group,mining,FY2026,cash_flow,Intragroup sweeps received,5,2808135514.31,False
E01,BHP Group,mining,FY2024,cash_flow,Intragroup sweeps paid,6,-2369646968.96,False
E01,BHP Group,mining,FY2025,cash_flow,Intragroup sweeps paid,6,-2371640022.56,False
E01,BHP Group,mining,FY2026,cash_flow,Intragroup sweeps paid,6,-2722821046.48,False
E01,BHP Group,mining,FY2024,cash_flow,Cross-border intragroup received,7,501383519.88,False
E01,BHP Group,mining,FY2025,cash_flow,Cross-border intragroup received,7,485010351.71,False
E01,BHP Group,mining,FY2026,cash_flow,Cross-border intragroup received,7,406274329.11,False
E01,BHP Group,mining,FY2024,cash_flow,Cross-border intragroup paid,8,-465151394.8,False
E01,BHP Group,mining,FY2025,cash_flow,Cross-border intragroup paid,8,-532714662.31,False
E01,BHP Group,mining,FY2026,cash_flow,Cross-border intragroup paid,8,-470875281.83,False
E01,BHP Group,mining,FY2024,cash_flow,Net intragroup and financing flows,9,-119083970.19,False
E01,BHP Group,mining,FY2025,cash_flow,Net intragroup and financing flows,9,-6770303.649999738,False
E01,BHP Group,mining,FY2026,cash_flow,Net intragroup and financing flows,9,20713515.109999955,False
E01,BHP Group,mining,FY2024,cash_flow,Net movement in cash,10,6809852169.783295,False
E01,BHP Group,mining,FY2025,cash_flow,Net movement in cash,10,7057172733.960971,False
E01,BHP Group,mining,FY2026,cash_flow,Net movement in cash,10,7678883457.742805,False
E01,BHP Group,mining,FY2024,cash_flow,Memo - gross cash inflows,11,11745980593.303293,False
E01,BHP Group,mining,FY2025,cash_flow,Memo - gross cash inflows,11,12184433151.350971,False
E01,BHP Group,mining,FY2026,cash_flow,Memo - gross cash inflows,11,13275896179.452805,False
E01,BHP Group,mining,FY2024,cash_flow,Memo - gross cash outflows,12,-4936128423.52,False
E01,BHP Group,mining,FY2025,cash_flow,Memo - gross cash outflows,12,-5127260417.39,False
E01,BHP Group,mining,FY2026,cash_flow,Memo - gross cash outflows,12,-5597012721.71,False
E01,BHP Group,mining,FY2024,cash_flow,Memo - foreign currency gross flows,13,2083260326.99,False
E01,BHP Group,mining,FY2025,cash_flow,Memo - foreign currency gross flows,13,2174463452.4100003,False
E01,BHP Group,mining,FY2026,cash_flow,Memo - foreign currency gross flows,13,2082856263.12,False
E01,BHP Group,mining,FY2024,cash_flow,Operating cash conversion,14,0.7673014268591483,True
E01,BHP Group,mining,FY2025,cash_flow,Operating cash conversion,14,0.7606393958228899,True
E01,BHP Group,mining,FY2026,cash_flow,Operating cash conversion,14,0.7611370414733758,True
E01,BHP Group,mining,FY2024,contingent_note,Letters of credit - notional,0,529993815.7,False
E01,BHP Group,mining,FY2025,contingent_note,Letters of credit - notional,0,613907310.82,False
E01,BHP Group,mining,FY2026,contingent_note,Letters of credit - notional,0,691115215.32,False
E01,BHP Group,mining,FY2024,contingent_note,Guarantees - notional,1,335229400.86,False
E01,BHP Group,mining,FY2025,contingent_note,Guarantees - notional,1,438984673.49,False
E01,BHP Group,mining,FY2026,contingent_note,Guarantees - notional,1,510614473.37,False
E01,BHP Group,mining,FY2024,contingent_note,Export collections - notional,2,338990922.46999997,False
E01,BHP Group,mining,FY2025,contingent_note,Export collections - notional,2,225814422.78,False
E01,BHP Group,mining,FY2026,contingent_note,Export collections - notional,2,242820429.46,False
E01,BHP Group,mining,FY2024,contingent_note,Total trade finance notional,3,1204214139.03,False
E01,BHP Group,mining,FY2025,contingent_note,Total trade finance notional,3,1278706407.0900002,False
E01,BHP Group,mining,FY2026,contingent_note,Total trade finance notional,3,1444550118.15,False
E01,BHP Group,mining,FY2024,contingent_note,Of which export,4,493442861.45,False
E01,BHP Group,mining,FY2025,contingent_note,Of which export,4,677491425.67,False
E01,BHP Group,mining,FY2026,contingent_note,Of which export,4,750705754.32,False
E01,BHP Group,mining,FY2024,contingent_note,Of which import,5,710771277.58,False
E01,BHP Group,mining,FY2025,contingent_note,Of which import,5,601214981.42,False
E01,BHP Group,mining,FY2026,contingent_note,Of which import,5,693844363.83,False
E01,BHP Group,mining,FY2024,contingent_note,Open exposure at period end,6,569585530.48,False
E01,BHP Group,mining,FY2025,contingent_note,Open exposure at period end,6,569182621.8100001,False
E01,BHP Group,mining,FY2026,contingent_note,Open exposure at period end,6,739424251.77,False
E01,BHP Group,mining,FY2024,contingent_note,Settled during period,7,564719707.0600001,False
E01,BHP Group,mining,FY2025,contingent_note,Settled during period,7,637106949.65,False
E01,BHP Group,mining,FY2026,contingent_note,Settled during period,7,619331457.09,False
E01,BHP Group,mining,FY2024,contingent_note,Weighted average tenor (days),8,103.79429163440189,True
E01,BHP Group,mining,FY2025,contingent_note,Weighted average tenor (days),8,103.44133259534868,True
E01,BHP Group,mining,FY2026,contingent_note,Weighted average tenor (days),8,105.98629498198002,True
E01,BHP Group,mining,FY2024,contingent_note,Instrument count,9,418.0,True
E01,BHP Group,mining,FY2025,contingent_note,Instrument count,9,418.0,True
E01,BHP Group,mining,FY2026,contingent_note,Instrument count,9,471.0,True
E01,BHP Group,mining,FY2024,contingent_note,Counterparty countries,10,11.0,True
E01,BHP Group,mining,FY2025,contingent_note,Counterparty countries,10,11.0,True
E01,BHP Group,mining,FY2026,contingent_note,Counterparty countries,10,11.0,True
E01,BHP Group,mining,FY2024,income_statement,Revenue - domestic collections,0,8484094526.973293,False
E01,BHP Group,mining,FY2025,income_statement,Revenue - domestic collections,0,8759508690.860971,False
E01,BHP Group,mining,FY2026,income_statement,Revenue - domestic collections,0,9446319820.622805,False
E01,BHP Group,mining,FY2024,income_statement,Revenue - cross-border trade receipts,1,470997438.4,False
E01,BHP Group,mining,FY2025,income_statement,Revenue - cross-border trade receipts,1,429675481.69,False
E01,BHP Group,mining,FY2026,income_statement,Revenue - cross-border trade receipts,1,516902583.02,False
E01,BHP Group,mining,FY2024,income_statement,Other operating income,2,75174234.36,False
E01,BHP Group,mining,FY2025,income_statement,Other operating income,2,97664597.58,False
E01,BHP Group,mining,FY2026,income_statement,Other operating income,2,98263932.39,False
E01,BHP Group,mining,FY2024,income_statement,Total revenue,3,9030266199.733294,False
E01,BHP Group,mining,FY2025,income_statement,Total revenue,3,9286848770.130972,False
E01,BHP Group,mining,FY2026,income_statement,Total revenue,3,10061486336.032804,False
E01,BHP Group,mining,FY2024,income_statement,Cost of sales - domestic suppliers,4,-1520721881.2,False
E01,BHP Group,mining,FY2025,income_statement,Cost of sales - domestic suppliers,4,-1582352644.16,False
E01,BHP Group,mining,FY2026,income_statement,Cost of sales - domestic suppliers,4,-1804439359.04,False
E01,BHP Group,mining,FY2024,income_statement,Cost of sales - cross-border trade payments,5,-426533408.09,False
E01,BHP Group,mining,FY2025,income_statement,Cost of sales - cross-border trade payments,5,-511366300.74,False
E01,BHP Group,mining,FY2026,income_statement,Cost of sales - cross-border trade payments,5,-461753554.64,False
E01,BHP Group,mining,FY2024,income_statement,Cost of sales and supplier payments,6,-1947255289.29,False
E01,BHP Group,mining,FY2025,income_statement,Cost of sales and supplier payments,6,-2093718944.9,False
E01,BHP Group,mining,FY2026,income_statement,Cost of sales and supplier payments,6,-2266192913.68,False
E01,BHP Group,mining,FY2024,income_statement,Gross profit proxy,7,7083010910.443294,False
E01,BHP Group,mining,FY2025,income_statement,Gross profit proxy,7,7193129825.230972,False
E01,BHP Group,mining,FY2026,income_statement,Gross profit proxy,7,7795293422.352804,False
E01,BHP Group,mining,FY2024,income_statement,Employee costs,8,-3142129.57,False
E01,BHP Group,mining,FY2025,income_statement,Employee costs,8,-2864428.52,False
E01,BHP Group,mining,FY2026,income_statement,Employee costs,8,-2738942.03,False
E01,BHP Group,mining,FY2024,income_statement,Other operating expenses,9,-144020331.46,False
E01,BHP Group,mining,FY2025,income_statement,Other operating expenses,9,-118032058.38,False
E01,BHP Group,mining,FY2026,income_statement,Other operating expenses,9,-128786582.13,False
E01,BHP Group,mining,FY2024,income_statement,EBITDA proxy,10,6935848449.413294,False
E01,BHP Group,mining,FY2025,income_statement,EBITDA proxy,10,7072233338.330972,False
E01,BHP Group,mining,FY2026,income_statement,EBITDA proxy,10,7663767898.192804,False
E01,BHP Group,mining,FY2024,income_statement,Taxation paid,11,-6912309.44,False
E01,BHP Group,mining,FY2025,income_statement,Taxation paid,11,-8290300.72,False
E01,BHP Group,mining,FY2026,income_statement,Taxation paid,11,-5597955.5600000005,False
E01,BHP Group,mining,FY2024,income_statement,Net cash earnings proxy,12,6928936139.973294,False
E01,BHP Group,mining,FY2025,income_statement,Net cash earnings proxy,12,7063943037.610971,False
E01,BHP Group,mining,FY2026,income_statement,Net cash earnings proxy,12,7658169942.632804,False
E01,BHP Group,mining,FY2024,income_statement,Gross margin proxy,13,0.78436346767413,True
E01,BHP Group,mining,FY2025,income_statement,Gross margin proxy,13,0.7745501195589651,True
E01,BHP Group,mining,FY2026,income_statement,Gross margin proxy,13,0.7747655924787004,True
E01,BHP Group,mining,FY2024,income_statement,EBITDA margin proxy,14,0.7680668870667559,True
E01,BHP Group,mining,FY2025,income_statement,EBITDA margin proxy,14,0.761532088373959,True
E01,BHP Group,mining,FY2026,income_statement,EBITDA margin proxy,14,0.7616934160857382,True
E01,BHP Group,mining,FY2024,income_statement,Employee cost ratio,15,0.00034795536482554656,True
E01,BHP Group,mining,FY2025,income_statement,Employee cost ratio,15,0.0003084392338995311,True
E01,BHP Group,mining,FY2026,income_statement,Employee cost ratio,15,0.0002722204193818894,True
E01,BHP Group,mining,FY2024,income_statement,Export revenue share,16,0.052157647181420935,True
E01,BHP Group,mining,FY2025,income_statement,Export revenue share,16,0.04626709148876776,True
E01,BHP Group,mining,FY2026,income_statement,Export revenue share,16,0.05137437608684486,True
E01,BHP Group,mining,FY2024,income_statement,Effective cash tax rate,17,0.0009966061816971672,True
E01,BHP Group,mining,FY2025,income_statement,Effective cash tax rate,17,0.0011722323519880481,True
E01,BHP Group,mining,FY2026,income_statement,Effective cash tax rate,17,0.0007304442976828742,True
E01,BHP Group,mining,FY2024,income_statement,Revenue growth,18,,True
E01,BHP Group,mining,FY2025,income_statement,Revenue growth,18,0.02841362200432762,True
E01,BHP Group,mining,FY2026,income_statement,Revenue growth,18,0.08341231617696598,True
E02,Glencore,mining,FY2024,cash_flow,Receipts from customers,0,2995478549.8797097,False
E02,Glencore,mining,FY2025,cash_flow,Receipts from customers,0,2806957445.2491302,False
E02,Glencore,mining,FY2026,cash_flow,Receipts from customers,0,3101572678.184198,False
E02,Glencore,mining,FY2024,cash_flow,Payments to suppliers,1,-1055848521.4899999,False
E02,Glencore,mining,FY2025,cash_flow,Payments to suppliers,1,-1028656854.82,False
E02,Glencore,mining,FY2026,cash_flow,Payments to suppliers,1,-1089978262.73,False
E02,Glencore,mining,FY2024,cash_flow,Payments to employees,2,-2010295.2,False
E02,Glencore,mining,FY2025,cash_flow,Payments to employees,2,-1913974.92,False
E02,Glencore,mining,FY2026,cash_flow,Payments to employees,2,-1889115.34,False
E02,Glencore,mining,FY2024,cash_flow,Taxation paid,3,-3474345.0,False
E02,Glencore,mining,FY2025,cash_flow,Taxation paid,3,-4357878.78,False
E02,Glencore,mining,FY2026,cash_flow,Taxation paid,3,-5378223.81,False
E02,Glencore,mining,FY2024,cash_flow,Net cash from operating activities,4,1934145388.18971,False
E02,Glencore,mining,FY2025,cash_flow,Net cash from operating activities,4,1772028736.72913,False
E02,Glencore,mining,FY2026,cash_flow,Net cash from operating activities,4,2004327076.304198,False
E02,Glencore,mining,FY2024,cash_flow,Intragroup sweeps received,5,662420999.07,False
E02,Glencore,mining,FY2025,cash_flow,Intragroup sweeps received,5,670418901.52,False
E02,Glencore,mining,FY2026,cash_flow,Intragroup sweeps received,5,770213805.36,False
E02,Glencore,mining,FY2024,cash_flow,Intragroup sweeps paid,6,-757793579.65,False
E02,Glencore,mining,FY2025,cash_flow,Intragroup sweeps paid,6,-661024906.26,False
E02,Glencore,mining,FY2026,cash_flow,Intragroup sweeps paid,6,-709387376.74,False
E02,Glencore,mining,FY2024,cash_flow,Cross-border intragroup received,7,499242633.90999997,False
E02,Glencore,mining,FY2025,cash_flow,Cross-border intragroup received,7,640420646.77,False
E02,Glencore,mining,FY2026,cash_flow,Cross-border intragroup received,7,549407571.17,False
E02,Glencore,mining,FY2024,cash_flow,Cross-border intragroup paid,8,-539470713.51,False
E02,Glencore,mining,FY2025,cash_flow,Cross-border intragroup paid,8,-537367201.18,False
E02,Glencore,mining,FY2026,cash_flow,Cross-border intragroup paid,8,-536367191.23,False
E02,Glencore,mining,FY2024,cash_flow,Net intragroup and financing flows,9,-135600660.17999995,False
E02,Glencore,mining,FY2025,cash_flow,Net intragroup and financing flows,9,112447440.85000002,False
E02,Glencore,mining,FY2026,cash_flow,Net intragroup and financing flows,9,73866808.55999994,False
E02,Glencore,mining,FY2024,cash_flow,Net movement in cash,10,1798544728.0097098,False
E02,Glencore,mining,FY2025,cash_flow,Net movement in cash,10,1884476177.5791302,False
E02,Glencore,mining,FY2026,cash_flow,Net movement in cash,10,2078193884.864198,False
E02,Glencore,mining,FY2024,cash_flow,Memo - gross cash inflows,11,4157142182.8597097,False
E02,Glencore,mining,FY2025,cash_flow,Memo - gross cash inflows,11,4117796993.53913,False
E02,Glencore,mining,FY2026,cash_flow,Memo - gross cash inflows,11,4421194054.714198,False
E02,Glencore,mining,FY2024,cash_flow,Memo - gross cash outflows,12,-2358597454.85,False
E02,Glencore,mining,FY2025,cash_flow,Memo - gross cash outflows,12,-2233320815.96,False
E02,Glencore,mining,FY2026,cash_flow,Memo - gross cash outflows,12,-2343000169.85,False
E02,Glencore,mining,FY2024,cash_flow,Memo - foreign currency gross flows,13,2377149590.63,False
E02,Glencore,mining,FY2025,cash_flow,Memo - foreign currency gross flows,13,2409957418.9500003,False
